-----
{
 "description": "The table refers to district wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.2.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ORISSA","KENDRAPARA",0,0,0,0,289,0,289
"ORISSA","KEONJHAR",24,3,14,16,17304,0,17361
"ORISSA","KHURDA",402,29,9,8,13121,0,13569
"ORISSA","KORAPUT",26,9,2,8,5733,0,5778
"ORISSA","MALKANGIRI",3,1,1,2,1342,0,1349
"ORISSA","MAYURBHANJ",10,2,0,2,10389,2,10405
"ORISSA","NAYAGARH",70,5,8,8,14164,0,14255
"ORISSA","NOWRANGPUR",5,4,0,3,9311,0,9323
"ORISSA","NUAPADA",89,4,2,10,13555,0,13660
"ORISSA","PHULBANI",90,1,6,5,5823,4,5929
"ORISSA","PURI",2,1,3,14,1002,0,1022
"ORISSA","RAYAGADA",8,3,3,0,1994,0,2008
"ORISSA","SAMBALPUR",13,3,6,4,13251,1,13278
"ORISSA","SONEPUR",34,0,13,2,11008,1,11058
"ORISSA","SUNDARGARH",20,2,3,8,18600,0,18633
"PUNJAB","AMRITSAR",0,0,0,2,1432,0,1434
"PUNJAB","BATHINDA",0,0,0,9,357,0,366
"PUNJAB","FARIDKOT",1,0,0,0,505,0,506
"PUNJAB","FATEHGARH SAHIB",1,0,0,0,124,0,125
"PUNJAB","FEROZEPUR",0,0,0,0,344,0,344
"PUNJAB","GURDASPUR",0,0,0,0,656,0,656
"PUNJAB","HOSHIARPUR",1,0,0,8,695,0,704
"PUNJAB","JALANDHAR",3,0,1,0,1462,0,1466
"PUNJAB","KAPURTHALA",0,3,0,0,782,1,786
"PUNJAB","LUDHIANA",5,0,6,1,695,0,707
"PUNJAB","MANSA",1,0,1,0,563,0,565
"PUNJAB","PATIALA",0,0,3,0,146,0,149
"PUNJAB","ROPAR",3,0,4,53,2274,0,2334
"PUNJAB","SANGRUR",6,0,0,1,1521,1,1529
"RAJASTHAN","AJMER",2934,51,113,32959,12474,444,48975
