-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ORISSA,KALAHANDI,JUNAGAD,0,2,5,3,10
ORISSA,KALAHANDI,KALAMPUR,4,7,23,1,35
ORISSA,KALAHANDI,KARLAMUNDA,1,0,0,0,1
ORISSA,KALAHANDI,KESINGA,12,15,27,11,65
ORISSA,KALAHANDI,KOKASARA,0,0,0,0,0
ORISSA,KALAHANDI,LANJIGARH,2,1,6,0,9
ORISSA,KALAHANDI,MADANPUR RAMAPUR,0,3,6,0,9
ORISSA,KALAHANDI,NARLA,5,4,27,3,39
ORISSA,KANDHAMAL,BALIGUDA,0,3,1,0,4
ORISSA,KANDHAMAL,CHAKAPAD,0,0,0,0,0
ORISSA,KANDHAMAL,DARINGBADI,0,0,0,0,0
ORISSA,KANDHAMAL,FIRINGIA,0,10,7,1,18
ORISSA,KANDHAMAL,G.UDAYAGIRI,1,1,0,0,2
ORISSA,KANDHAMAL,KHAJURIPADA,0,0,1,4,5
ORISSA,KANDHAMAL,KOTAGARH,0,0,0,0,0
ORISSA,KANDHAMAL,NUAGAON,0,0,1,0,1
ORISSA,KANDHAMAL,PHULBANI,0,3,2,1,6
ORISSA,KANDHAMAL,RAIKIA,0,3,0,0,3
ORISSA,KANDHAMAL,TIKABALI,0,0,0,0,0
ORISSA,KANDHAMAL,TUMUDIBANDHA,0,1,0,0,1
ORISSA,KENDRAPARA,AUL,78,20,40,1,139
ORISSA,KENDRAPARA,DERABISHI,9,12,2,18,41
ORISSA,KENDRAPARA,GARADPUR,21,9,5,20,55
ORISSA,KENDRAPARA,KENDRAPADA,10,2,4,0,16
ORISSA,KENDRAPARA,MAHAKALPADA,16,26,12,71,125
ORISSA,KENDRAPARA,MARSHAGHAI,0,3,6,24,33
ORISSA,KENDRAPARA,PATTAMUNDAI,103,37,40,22,202
ORISSA,KENDRAPARA,RAJKANIKA,44,217,118,5,384
ORISSA,KENDRAPARA,RAJNAGAR,62,110,100,1,273
ORISSA,KEONJHAR,ANANDPUR,0,10,7,17,34
ORISSA,KEONJHAR,BANSPAL,9,9,4,56,78
ORISSA,KEONJHAR,CHAMPUA,17,13,24,13,67
ORISSA,KEONJHAR,GHASIPURA,18,11,4,10,43
ORISSA,KEONJHAR,GHATAGAON,6,4,8,0,18
ORISSA,KEONJHAR,HARICHANDANPUR,6,24,11,7,48
ORISSA,KEONJHAR,HATADIHI,9,19,12,2,42
ORISSA,KEONJHAR,JHUMPURA,19,26,4,1,50
ORISSA,KEONJHAR,JODA,0,0,0,0,0
ORISSA,KEONJHAR,KEONJHAR SADAR,73,44,22,9,148
ORISSA,KEONJHAR,PATANA,1,1,0,24,26
ORISSA,KEONJHAR,SAHARPADA,5,0,4,8,17
ORISSA,KEONJHAR,TELKOI,9,42,15,20,86
ORISSA,KHURDA,BALIANTA,5,4,1,0,10
ORISSA,KHURDA,BANAPUR,6,8,18,3,35
ORISSA,KHURDA,BEGUNIA,2,7,13,14,36
ORISSA,KHURDA,BHUBANESWAR,0,1,1,4,6
ORISSA,KHURDA,BOLAGARH,11,9,14,0,34
ORISSA,KHURDA,CHILIKA,0,0,0,0,0
ORISSA,KHURDA,JATANI,0,1,0,0,1
ORISSA,KHURDA,KHURDA,2,3,1,0,6
ORISSA,KHURDA,TANGI,14,12,4,3,33
ORISSA,KORAPUT,BANDHUGAON,0,0,1,0,1
ORISSA,KORAPUT,BOIPARIGUDA,33,66,155,7,261
ORISSA,KORAPUT,BORIGUMMA,142,384,261,16,803
ORISSA,KORAPUT,DASAMANTAPUR,1,1,0,0,2
ORISSA,KORAPUT,JEYPORE,40,19,10,6,75
ORISSA,KORAPUT,KORAPUT,1,3,13,14,31
ORISSA,KORAPUT,KOTPAD,68,149,66,3,286
ORISSA,KORAPUT,KUNDURA,160,115,12,11,298
ORISSA,KORAPUT,LAMTAPUT,0,2,0,1,3
ORISSA,KORAPUT,LAXMIPUR,2,0,0,5,7
ORISSA,KORAPUT,NANDAPUR,0,3,5,1,9
ORISSA,KORAPUT,NARAYANAPATNA,0,0,0,0,0
