-----
{
 "description": "The table refers to district wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.12.csv", 
 "title": "Download CSV for Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"UTTAR PRADESH","UDHAMSINGH NAGAR",61,13,289,13
"UTTAR PRADESH","UTTARKASHI",29,126,30,33
"UTTAR PRADESH","VARANASI",82,75,291,0
"WEST BENGAL","BANKURA",3018,30,403,503
"WEST BENGAL","BIRBHUM",17346,1,125,222
"WEST BENGAL","BURDWAN",6596,6,232,520
"WEST BENGAL","COOCHBEHAR",2437,6,27,114
"WEST BENGAL","DAKSHIN DINAJPUR",1733,5,379,648
"WEST BENGAL","DARJEELING",63,172,14,616
"WEST BENGAL","HOOGLY",4379,11,121,1033
"WEST BENGAL","HOWRAH",8664,0,118,212
"WEST BENGAL","JALPAIGURI",631,144,123,921
"WEST BENGAL","MALDA",1789,9,514,1041
"WEST BENGAL","MIDNAPORE",15044,12,379,229
"WEST BENGAL","MURSHIDABAD",3152,7,174,1396
"WEST BENGAL","NADIA",301,38,147,1906
"WEST BENGAL","NORTH 24 PARGANAS",1160,3,118,572
"WEST BENGAL","PURULIA",440,14,29,624
"WEST BENGAL","SOUTH 24 PARGANAS",16600,1,252,197
"WEST BENGAL","UTTAR DINAJPUR",292,46,340,866
"ANDAMAN & NICOBARS","ANDAMAN",1171,0,6,0
"ANDAMAN & NICOBARS","NICOBARS",39,0,0,0
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",54,112,268,87
"PONDICHERRY","KARAIKAL",6,313,0,0
"PONDICHERRY","YANAM",400,0,14,0
