-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,1481,1481,0,3500,3500,0,1839,1839
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,6,756,762,10,1298,1308,8,1112,1119
ANDHRA PRADESH,CHITTOOR,VAYALPAD,4,1145,1149,4,1134,1138,4,1028,1032
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,3,3080,3083,4,3657,3661,1,2374,2376
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,14,2493,2507,9,2192,2202,8,1794,1802
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,3,1136,1139,5,2085,2090,5,2071,2076
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,2259,2259,0,2881,2881,0,2525,2525
ANDHRA PRADESH,CHITTOOR,YERPEDU,4,1462,1466,5,2810,2815,4,1888,1892
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,208,208,0,258,258,0,72,72
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,1,326,327,3,1021,1024,2,427,428
ANDHRA PRADESH,CUDDAPAH,ATLUR,3,58,61,5,172,177,1,65,67
ANDHRA PRADESH,CUDDAPAH,B KODUR,0,29,29,0,88,88,0,39,39
ANDHRA PRADESH,CUDDAPAH,BADVEL,2,96,98,11,311,322,1,107,108
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,2,302,304,2,837,839,0,425,425
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,0,1090,1090,0,3033,3033,0,1101,1101
ANDHRA PRADESH,CUDDAPAH,CHAPAD,5,224,229,8,527,534,4,423,427
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,114,114,0,280,280,0,273,273
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,1471,1471,0,2105,2105,0,485,485
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,0,201,201,0,552,552,0,335,335
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,371,371,0,606,606,0,492,492
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,90,90,0,326,326,0,283,283
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,17,17,0,39,39,0,35,35
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,869,869,0,986,986,0,260,260
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,266,266,0,786,786,0,539,539
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,2,272,274,4,656,660,4,464,468
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,3,151,154,5,411,416,5,393,398
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,12,12,0,34,34,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,95,95,0,748,748,0,721,721
ANDHRA PRADESH,CUDDAPAH,KODUR,0,914,914,0,1516,1516,0,1497,1497
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,56,56,0,188,188,0,184,184
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,1299,1299,0,2736,2736,0,1007,1007
