-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.9.csv"
}
-----
"State","District","Horse Power (0 - 6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power ( > 18)","Total"
"BIHAR","SUPAUL",1,1,0,40,42
"BIHAR","VAISHALI",16,15,10,29,70
"BIHAR","WEST CHAMPARAN",7,4,12,4,27
"CHANDIGARH","UT CHANDIGARH",3,15,11,28,57
"CHHATTISGARH","BASTER",3,1,0,0,4
"CHHATTISGARH","BILASPUR",1381,11,0,0,1392
"CHHATTISGARH","DANTEWADA",3,0,0,0,3
"CHHATTISGARH","DHAMTARI",7,1,0,0,8
"CHHATTISGARH","DURG",138,43,4,5,190
"CHHATTISGARH","JANJGIR-CHAMPA",2622,53,5,1,2681
"CHHATTISGARH","JASHPUR",1,0,0,0,1
"CHHATTISGARH","KANKER",6,0,0,0,6
"CHHATTISGARH","KORIA",4,0,0,0,4
"CHHATTISGARH","KVARDHA",63,7,0,0,70
"CHHATTISGARH","MAHASAMUND",4,0,0,0,4
"CHHATTISGARH","RAIGARH",554,85,2,1,642
"CHHATTISGARH","RAIPUR",116,18,0,0,134
