-----
{
 "description": "The table refers to block wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.1.csv", 
 "title": "Download CSV for Block wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.1.csv"
}
-----
State,District,Block,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,104,0,0,0,0,0,5,21,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,44,0,10,3,3,4,2,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,192,9,6,8,12,14,19,22,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,353,73,20,49,87,23,22,10,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,17,9,1,0,1,1,0,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,213,11,24,19,29,30,31,20,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,346,62,11,14,8,9,6,1,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,41,0,0,0,0,0,1,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,838,49,28,30,12,38,14,2,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,0,0,0,0,9,2,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,126,34,82,10,15,7,17,11,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,86,49,20,25,19,4,4,4,211
ANDHRA PRADESH,GUNTUR,BAPATLA,4,1,0,0,1,5,13,4,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,6,0,5,6,7,11,13,2,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,354,146,210,53,43,95,33,24,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,99,32,17,0,10,0,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,12,0,0,0,0,0,0,19,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,46,3,6,9,24,7,3,1,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,2,18,20,5,0,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,483,123,117,360,125,102,85,66,1461
ANDHRA PRADESH,GUNTUR,DURGI,8,5,7,5,6,0,0,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,30,2,0,0,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,2,2,1,8,2,3,5,7,30
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,1,16,32,8,6,0,63
