-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.12.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.12.csv"
}
-----
State,District,Block,Total Number of Tubewells, Avg length of Pucca Channel,Avg length of Kuccha Channel,Avg length of Under gr. Channel
ANDHRA PRADESH,RANGA REDDY,HAYATHNAGAR,911,2,15,45
ANDHRA PRADESH,RANGA REDDY,IBRAHIMPATNAM,19,0,14,13
ANDHRA PRADESH,RANGA REDDY,KANDUKUR,594,3,33,13
ANDHRA PRADESH,RANGA REDDY,KEESARA,634,0,32,2
ANDHRA PRADESH,RANGA REDDY,KULKACHARLA,6,0,101,0
ANDHRA PRADESH,RANGA REDDY,MAHESWARAM,1614,2,28,83
ANDHRA PRADESH,RANGA REDDY,MALKAJGIRI,35,10,27,6
ANDHRA PRADESH,RANGA REDDY,MANCHAL,122,0,9,9
ANDHRA PRADESH,RANGA REDDY,MARPALLE,33,2,59,0
ANDHRA PRADESH,RANGA REDDY,MEDCHAL,2677,2,16,42
ANDHRA PRADESH,RANGA REDDY,MOINABAD,1285,0,19,5
ANDHRA PRADESH,RANGA REDDY,MOMINPET,23,6,80,34
ANDHRA PRADESH,RANGA REDDY,NAWABPET,105,0,136,2
ANDHRA PRADESH,RANGA REDDY,PARGI,248,0,18,56
ANDHRA PRADESH,RANGA REDDY,PEDDEMUL,158,13,13,15
ANDHRA PRADESH,RANGA REDDY,PUDUR,80,1,42,28
ANDHRA PRADESH,RANGA REDDY,QUTHBULLAPUR,825,13,46,3
ANDHRA PRADESH,RANGA REDDY,RAJENDRANAGAR,195,0,18,33
ANDHRA PRADESH,RANGA REDDY,SAROORNAGAR,399,1,63,35
ANDHRA PRADESH,RANGA REDDY,SERILINGAMPALLE,61,34,30,0
ANDHRA PRADESH,RANGA REDDY,SHABAD,106,1,200,37
ANDHRA PRADESH,RANGA REDDY,SHAMIRPET,1910,0,34,11
ANDHRA PRADESH,RANGA REDDY,SHAMSHABAD,1604,5,13,115
ANDHRA PRADESH,RANGA REDDY,SHANKARPALLE,472,0,30,129
ANDHRA PRADESH,RANGA REDDY,TANDUR,214,2,19,4
ANDHRA PRADESH,RANGA REDDY,UPPAL,26,116,24,0
ANDHRA PRADESH,RANGA REDDY,VICARABAD,15,19,58,19
ANDHRA PRADESH,RANGA REDDY,YACHARAM,304,2,27,54
ANDHRA PRADESH,RANGA REDDY,YELAL,461,0,38,8
ANDHRA PRADESH,SRIKAKULUM,AMADALAVALASA,111,170,80,0
ANDHRA PRADESH,SRIKAKULUM,BHAMINI,144,0,11,0
ANDHRA PRADESH,SRIKAKULUM,BURJA,156,0,16,0
ANDHRA PRADESH,SRIKAKULUM,ETCHERLA,146,0,27,0
ANDHRA PRADESH,SRIKAKULUM,GANGUVARISIGADM,10,0,25,0
ANDHRA PRADESH,SRIKAKULUM,GARA,940,0,15,0
ANDHRA PRADESH,SRIKAKULUM,HIRAMANDALAM,125,0,28,0
ANDHRA PRADESH,SRIKAKULUM,ICHCHAPURAM,128,0,15,0
ANDHRA PRADESH,SRIKAKULUM,JALUMURU,185,1,5,0
ANDHRA PRADESH,SRIKAKULUM,KANCHILI,3,0,20,0
ANDHRA PRADESH,SRIKAKULUM,KAVITI,256,0,58,0
ANDHRA PRADESH,SRIKAKULUM,KOTABOMMALI,2,0,30,0
ANDHRA PRADESH,SRIKAKULUM,KOTTURU,169,27,48,0
ANDHRA PRADESH,SRIKAKULUM,LAVERU,31,0,62,2
ANDHRA PRADESH,SRIKAKULUM,MANDASA,63,0,11,0
ANDHRA PRADESH,SRIKAKULUM,MELIAPUTTI,58,0,8,0
ANDHRA PRADESH,SRIKAKULUM,NANDIGAM,8,0,10,0
ANDHRA PRADESH,SRIKAKULUM,NARASANNAPETA,510,0,8,0
ANDHRA PRADESH,SRIKAKULUM,PALAKONDA,184,7,18,0
ANDHRA PRADESH,SRIKAKULUM,PALASA,56,0,10,0
ANDHRA PRADESH,SRIKAKULUM,PATHPATNAM,114,0,2,0
ANDHRA PRADESH,SRIKAKULUM,POLAKI,484,0,1,0
ANDHRA PRADESH,SRIKAKULUM,PONDURU,28,0,48,0
ANDHRA PRADESH,SRIKAKULUM,RANASTALAM,164,7,106,19
ANDHRA PRADESH,SRIKAKULUM,REGIDI AMADALAVALASA,160,2,3,0
ANDHRA PRADESH,SRIKAKULUM,SANTHABOMMALI,46,0,31,0
ANDHRA PRADESH,SRIKAKULUM,SANTHAKAVATI,117,0,43,0
ANDHRA PRADESH,SRIKAKULUM,SARAVAKOTA,11,0,98,0
ANDHRA PRADESH,SRIKAKULUM,SARUBUJJILI,275,0,42,0
ANDHRA PRADESH,SRIKAKULUM,SOMPETA,128,0,62,0
ANDHRA PRADESH,SRIKAKULUM,SRIKAKULAM,373,0,21,0
ANDHRA PRADESH,SRIKAKULUM,TEKKALI,1,0,5,0
ANDHRA PRADESH,SRIKAKULUM,VAJRAPUKOTTURU,48,0,29,0
ANDHRA PRADESH,SRIKAKULUM,VANGARA,207,0,20,0
ANDHRA PRADESH,SRIKAKULUM,VEERAGHATTAM,242,6,24,0
ANDHRA PRADESH,VIJAYA NAGARAM,0ACHIPENTA,149,0,9,0
ANDHRA PRADESH,VIJAYA NAGARAM,BADANGI,87,0,42,9
ANDHRA PRADESH,VIJAYA NAGARAM,BALIJIPETA,149,0,7,2
ANDHRA PRADESH,VIJAYA NAGARAM,BHOGHAPURAM,85,0,65,0
ANDHRA PRADESH,VIJAYA NAGARAM,BOBBILI,255,0,33,0
ANDHRA PRADESH,VIJAYA NAGARAM,BONDAPALLE,4,0,45,0
ANDHRA PRADESH,VIJAYA NAGARAM,CHEEPURUPALLE,39,0,16,0
ANDHRA PRADESH,VIJAYA NAGARAM,DATTIRAJERU,36,0,40,0
ANDHRA PRADESH,VIJAYA NAGARAM,DENKADA,56,0,87,0
ANDHRA PRADESH,VIJAYA NAGARAM,GAJAPATHINAGARAM,151,0,17,5
ANDHRA PRADESH,VIJAYA NAGARAM,GANTYADA,166,0,5,0
ANDHRA PRADESH,VIJAYA NAGARAM,GARIVIDI,38,0,30,2
ANDHRA PRADESH,VIJAYA NAGARAM,GARUGUBILLI,121,0,24,2
ANDHRA PRADESH,VIJAYA NAGARAM,GURLA,55,0,14,2
ANDHRA PRADESH,VIJAYA NAGARAM,JAMI,296,1,7,1
ANDHRA PRADESH,VIJAYA NAGARAM,JIYYAMMAVALASA,151,0,13,0
ANDHRA PRADESH,VIJAYA NAGARAM,KOMARADA,151,0,18,1
ANDHRA PRADESH,VIJAYA NAGARAM,KOTHAVALASA,2,0,45,0
ANDHRA PRADESH,VIJAYA NAGARAM,KURUPAM,5,0,9,0
ANDHRA PRADESH,VIJAYA NAGARAM,LAKKAVARAPUKOTA,67,0,139,0
ANDHRA PRADESH,VIJAYA NAGARAM,MAKKUVA,34,0,30,0
ANDHRA PRADESH,VIJAYA NAGARAM,MENTADA,81,0,19,0
ANDHRA PRADESH,VIJAYA NAGARAM,MERAKAMUDIDAM,17,0,116,0
ANDHRA PRADESH,VIJAYA NAGARAM,NELLIMARLA,56,0,141,10
ANDHRA PRADESH,VIJAYA NAGARAM,PARVATHIPURAM,21,31,110,0
ANDHRA PRADESH,VIJAYA NAGARAM,PUSAPATIREGA,198,0,62,0
ANDHRA PRADESH,VIJAYA NAGARAM,RAMABHADRAPURAM,75,0,52,0
ANDHRA PRADESH,VIJAYA NAGARAM,SALUR,577,7,8,2
ANDHRA PRADESH,VIJAYA NAGARAM,SEETHANAGARAM,323,0,47,0
ANDHRA PRADESH,VIJAYA NAGARAM,SRUNGAVARAPUKOTA,517,0,85,0
ANDHRA PRADESH,VIJAYA NAGARAM,THERLAM,122,0,21,0
ANDHRA PRADESH,VIJAYA NAGARAM,VEPADA,43,0,94,0
ANDHRA PRADESH,VIJAYA NAGARAM,VIZIANAGARAM,1,0,300,0
ANDHRA PRADESH,VISAKHAPATNAM,ANAKAPALLE,219,0,34,0
ANDHRA PRADESH,VISAKHAPATNAM,ANANDAPURAM,72,0,39,0
ANDHRA PRADESH,VISAKHAPATNAM,ANANTHAGIRI,8,0,28,0
ANDHRA PRADESH,VISAKHAPATNAM,ATCHUTAPURAM,348,5,7,3
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,35,0,50,0
ANDHRA PRADESH,VISAKHAPATNAM,BUTCHAYYAPETA,163,0,13,0
ANDHRA PRADESH,VISAKHAPATNAM,CHEEDIKADA,99,0,63,0
ANDHRA PRADESH,VISAKHAPATNAM,CHODAVARAM,648,0,48,0
ANDHRA PRADESH,VISAKHAPATNAM,DEVARAPALLE,411,0,45,0
ANDHRA PRADESH,VISAKHAPATNAM,GOLUGONDA,139,2,30,0
ANDHRA PRADESH,VISAKHAPATNAM,K.KOTAPADU,236,0,34,0
ANDHRA PRADESH,VISAKHAPATNAM,KASIMKOTA,272,0,31,0
ANDHRA PRADESH,VISAKHAPATNAM,KOTAURATLA,87,4,31,0
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,537,0,88,0
ANDHRA PRADESH,VISAKHAPATNAM,MAKAVARAPALEM,65,0,34,0
ANDHRA PRADESH,VISAKHAPATNAM,MUNAGAPAKA,545,7,87,6
ANDHRA PRADESH,VISAKHAPATNAM,NARSIPATNAM,19,0,26,0
ANDHRA PRADESH,VISAKHAPATNAM,NATHAVARAM,60,6,22,0
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,236,0,73,0
ANDHRA PRADESH,VISAKHAPATNAM,PARAVADA,20,8,39,0
ANDHRA PRADESH,VISAKHAPATNAM,PAYAKARAOPETA,523,0,196,0
ANDHRA PRADESH,VISAKHAPATNAM,PENDURTHI,9,0,35,0
ANDHRA PRADESH,VISAKHAPATNAM,RAMBILLI,38,0,59,0
ANDHRA PRADESH,VISAKHAPATNAM,RAVIKAMATHAM,15,0,124,0
ANDHRA PRADESH,VISAKHAPATNAM,ROLUGUNTA,35,0,53,0
ANDHRA PRADESH,VISAKHAPATNAM,S.RAYAVARAM,266,0,56,0
ANDHRA PRADESH,VISAKHAPATNAM,SABBAVARAM,7,0,21,0
ANDHRA PRADESH,VISAKHAPATNAM,VISAKHAPATNAM RURAL,1,0,30,0
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,275,3,32,0
ANDHRA PRADESH,WARANGAL,ATMAKUR,2,0,30,0
ANDHRA PRADESH,WARANGAL,BACHANNAPETA,140,0,16,5
ANDHRA PRADESH,WARANGAL,CHERIYAL,519,0,14,25
ANDHRA PRADESH,WARANGAL,CHITYAL,70,10,95,11
ANDHRA PRADESH,WARANGAL,DEVARUPPULA,338,0,29,15
ANDHRA PRADESH,WARANGAL,DORNAKAL,1,0,40,0
ANDHRA PRADESH,WARANGAL,DUGGONDI,6,0,429,32
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,122,0,13,0
ANDHRA PRADESH,WARANGAL,GHANPUR(STATION),249,0,214,37
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,37,0,53,38
ANDHRA PRADESH,WARANGAL,HANAMKONDA,50,0,15,0
ANDHRA PRADESH,WARANGAL,JANGAON,68,0,53,2
ANDHRA PRADESH,WARANGAL,KODAKANDLA,91,0,16,10
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,124,0,165,34
ANDHRA PRADESH,WARANGAL,LINGALAGHANPUR,54,1,17,147
ANDHRA PRADESH,WARANGAL,MADDUR,102,2,26,36
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,16,0,33,61
ANDHRA PRADESH,WARANGAL,MANGAPET,391,0,88,6
ANDHRA PRADESH,WARANGAL,MULUG,53,0,70,6
ANDHRA PRADESH,WARANGAL,NALLA BELLI,6,0,35,0
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,34,0,162,0
ANDHRA PRADESH,WARANGAL,NEKKONDA,6,0,46,21
ANDHRA PRADESH,WARANGAL,PALAKURTHI,226,15,25,10
ANDHRA PRADESH,WARANGAL,PARKAL,8,0,52,52
ANDHRA PRADESH,WARANGAL,RAGHUNATHPALLE,4,0,52,30
ANDHRA PRADESH,WARANGAL,TADVAI,226,3,23,3
ANDHRA PRADESH,WARANGAL,THORRUR,53,0,14,32
ANDHRA PRADESH,WARANGAL,VENKATAPUR,31,0,33,0
ANDHRA PRADESH,WARANGAL,WARDHANNA PET,484,0,34,3
ANDHRA PRADESH,WEST GODAVARI,ACHANTA,732,0,12,0
ANDHRA PRADESH,WEST GODAVARI,ATTILI,67,0,88,0
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,132,0,205,0
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,912,5,145,0
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,724,4,202,5
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,1179,0,327,0
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,156,0,296,0
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,52,0,463,0
ANDHRA PRADESH,WEST GODAVARI,IRAGAVARAM,594,0,37,0
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,1038,0,229,0
ANDHRA PRADESH,WEST GODAVARI,JEELUGU MILLI,608,0,113,4
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,1538,0,245,0
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,374,0,135,0
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,75,65,22,142
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,287,0,242,0
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,796,0,71,0
ANDHRA PRADESH,WEST GODAVARI,PALACOLE,75,0,55,0
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,9,14,146,0
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,3,0,120,0
ANDHRA PRADESH,WEST GODAVARI,PENUGONDA,527,0,20,0
ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,243,0,25,0
ANDHRA PRADESH,WEST GODAVARI,PERAVALI,923,0,133,0
ANDHRA PRADESH,WEST GODAVARI,PODURU,394,0,50,0
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,439,0,93,0
ANDHRA PRADESH,WEST GODAVARI,T.NARASAPURAM,112,8,150,0
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,8,0,50,0
ANDHRA PRADESH,WEST GODAVARI,TANUKU,243,0,99,0
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,502,0,74,0
ANDHRA PRADESH,WEST GODAVARI,UNDRAJAVARAM,851,0,124,0
ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,170,0,24,0
ANDHRA PRADESH,WEST GODAVARI,YELAMANCHILI,313,0,21,0
ASSAM,BARPETA,BAJALI,438,0,64,0
ASSAM,BARPETA,BARPETA,404,0,149,0
ASSAM,BARPETA,BHAWANIPUR,211,0,149,0
ASSAM,BARPETA,CHENGA,316,1,99,1
ASSAM,BARPETA,GOBARDHANA,313,0,258,0
ASSAM,BARPETA,JALAH,328,0,97,0
ASSAM,BARPETA,MANDIA,293,0,71,0
ASSAM,BARPETA,RUPSI,60,0,274,0
ASSAM,BONGAIGAON,BOITAMARI,185,1,16,0
ASSAM,BONGAIGAON,BOROBAZAR,192,0,40,0
ASSAM,BONGAIGAON,MANIKPUR,186,0,45,0
ASSAM,BONGAIGAON,SIDLI-CHIRANG,73,0,38,0
ASSAM,BONGAIGAON,SRIJANGRAM,216,0,41,0
ASSAM,CACHAR,SONAI,1,0,0,0
ASSAM,DARRANG,DALGAON SIALMARI,747,0,3,0
ASSAM,DARRANG,KALAIGAON,342,2,19,0
ASSAM,DARRANG,KHAIRABARI,232,0,39,0
ASSAM,DARRANG,MAZBAT,649,0,92,0
ASSAM,DARRANG,SIPAJHAR,212,0,4,0
ASSAM,DARRANG,UDALGURI,69,0,4,0
ASSAM,DHEMAJI,BORDOLONI,219,0,56,0
ASSAM,DHEMAJI,DHEMAJI,422,2,87,0
ASSAM,DHEMAJI,MURKONGSELLECK,76,0,126,0
ASSAM,DHUBRI,AGAMONI,606,0,221,0
ASSAM,DHUBRI,BILASIPARA,605,0,138,0
ASSAM,DHUBRI,CHAPAR SALKOCHA,117,0,65,0
ASSAM,DHUBRI,GAURIPUR,550,0,124,0
ASSAM,DHUBRI,GOLOKGANJ,100,0,199,0
ASSAM,DHUBRI,MANKACHAR,131,0,117,0
ASSAM,DHUBRI,SOUTH SALMARA,379,0,118,0
ASSAM,DIBRUGARH,BARBARUAH,204,0,0,0
ASSAM,DIBRUGARH,JOYPUR,182,0,33,0
ASSAM,DIBRUGARH,KHOWANG,263,0,29,0
ASSAM,DIBRUGARH,LAHOWAL,277,0,56,0
ASSAM,DIBRUGARH,PANITOLA,303,0,20,0
ASSAM,DIBRUGARH,TENGAKHAT,232,0,35,0
ASSAM,GOALPARA,BALIJANA,88,0,127,0
ASSAM,GOALPARA,DUDHNOI,27,0,342,0
ASSAM,GOALPARA,LAKHIPUR,149,0,429,0
ASSAM,GOALPARA,MATIA,117,0,212,0
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,26,0,62,0
ASSAM,GOLAGHAT,GOLAGHAT EAST,32,0,26,0
ASSAM,GOLAGHAT,GOLAGHAT NORTH,110,0,22,0
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,153,0,9,0
ASSAM,GOLAGHAT,GOLAGHAT WEST,170,0,229,14
ASSAM,GOLAGHAT,GOMARIGURI,4,0,26,0
ASSAM,HAILAKANDI,HAILAKANDI,76,0,61,0
ASSAM,HAILAKANDI,LALA,4,0,17,0
ASSAM,JORHAT,JORHAT,23,0,35,0
ASSAM,JORHAT,JORHAT CENTRAL,93,0,68,0
ASSAM,JORHAT,JORHAT EAST,156,19,106,0
ASSAM,JORHAT,MAJULI,1070,0,55,0
ASSAM,JORHAT,NORTH WEST JORHAT,144,0,43,0
ASSAM,JORHAT,TITABOR,4,0,71,0
ASSAM,KAMRUP,BOKO BANGAON,24,1,83,0
ASSAM,KAMRUP,CHAMARIA,46,0,17,0
ASSAM,KAMRUP,CHHAYGAON,49,0,15,0
ASSAM,KAMRUP,DIMORIA,32,0,43,0
ASSAM,KAMRUP,HAJO,199,0,19,0
ASSAM,KAMRUP,KAMALPUR,141,0,1,0
ASSAM,KAMRUP,KARARA,319,0,23,0
ASSAM,KAMRUP,RAMPUR,62,0,205,0
ASSAM,KAMRUP,RANGIA,310,0,48,0
ASSAM,KAMRUP,RANI,86,0,0,0
ASSAM,KARBI ANGLONG,AMRI,1,0,0,0
ASSAM,KARBI ANGLONG,BOKAJAN,4,8,85,0
ASSAM,KARBI ANGLONG,HOWRAGHAT,20,15,61,0
ASSAM,KARBI ANGLONG,LUMBAJONG,2,25,148,0
ASSAM,KARBI ANGLONG,RONGKHONG,52,0,68,0
ASSAM,KARBI ANGLONG,SAMILONGSO,2,10,58,0
ASSAM,KARIMGANJ,BADARPUR,1,0,0,0
ASSAM,KARIMGANJ,NORTH KARIMGANJ,14,0,0,0
ASSAM,KARIMGANJ,PATHARKANDI,23,0,0,0
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,18,0,1,0
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,28,0,0,0
ASSAM,KOKRAJHAR,DOTOMA,249,0,48,0
ASSAM,KOKRAJHAR,GOSSAIGAON,62,0,77,0
ASSAM,KOKRAJHAR,KACHUGAON,281,0,88,0
ASSAM,KOKRAJHAR,KOKRAJHAR,113,0,77,0
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),53,0,89,0
ASSAM,LAKHIMPUR,BIHPURIA,330,1,153,9
ASSAM,LAKHIMPUR,BORDALANI,51,0,17,0
ASSAM,LAKHIMPUR,DHAKUAKHANA,155,0,16,0
ASSAM,LAKHIMPUR,LAKHIMPUR,237,0,36,0
ASSAM,LAKHIMPUR,NARAYANPUR,197,0,20,0
ASSAM,LAKHIMPUR,NOWBOICHA,196,0,77,0
ASSAM,MARIGAON,BHURBANDHA,416,0,33,0
ASSAM,MARIGAON,KAPILI,10,0,65,0
ASSAM,MARIGAON,LAHARIGHAT,402,0,44,0
ASSAM,MARIGAON,MAYONG,567,0,87,0
ASSAM,NAGAON,BATADRAVA,218,1,58,0
ASSAM,NAGAON,JUGIJAN,335,0,149,0
ASSAM,NAGAON,JURIA,119,0,56,0
ASSAM,NAGAON,KALIABOR,434,5,115,0
ASSAM,NAGAON,KAPILI,10,0,86,0
ASSAM,NAGAON,KAPILI PT.I,337,0,195,0
ASSAM,NAGAON,KATHIATOLI,988,0,68,0
ASSAM,NAGAON,KHAGARIJAN,168,0,51,0
ASSAM,NAGAON,LANKA,369,0,64,0
ASSAM,NAGAON,LAOKHOWA,144,0,74,0
ASSAM,NAGAON,RUPAHI,135,1,68,0
ASSAM,NALBARI,BARIGOG BANBHAG,100,0,48,0
ASSAM,NALBARI,BARKHETRI,291,0,42,0
ASSAM,NALBARI,BASKA,245,0,169,0
ASSAM,NALBARI,PASCHIM NALBARI,182,0,74,0
ASSAM,NALBARI,PUB NALBARI,268,0,55,0
ASSAM,NALBARI,TAMULPUR,168,0,28,0
ASSAM,NALBARI,TIHU BARAMA,163,0,83,0
ASSAM,SIBSAGAR,AMGURI,109,0,0,0
ASSAM,SIBSAGAR,DEMOW,264,0,42,0
ASSAM,SIBSAGAR,NAZIRA,102,0,0,0
ASSAM,SIBSAGAR,SAPEKHATI,47,0,245,0
ASSAM,SIBSAGAR,SONARI,266,0,165,0
ASSAM,SONITPUR,BALIPARA,525,0,52,0
ASSAM,SONITPUR,BEHALI,225,0,82,1
ASSAM,SONITPUR,BISWANATH,60,0,49,0
ASSAM,SONITPUR,CHAIDUAR,758,0,93,0
ASSAM,SONITPUR,DHEKIAJULI,495,0,89,0
ASSAM,SONITPUR,GABHORU,410,0,13,0
ASSAM,SONITPUR,NADUAR,394,0,44,0
ASSAM,TINSUKIA,HAPJAN,458,0,161,0
ASSAM,TINSUKIA,KAKOPATHAR,701,0,101,0
ASSAM,TINSUKIA,MARGHERITA,93,0,28,0
ASSAM,TINSUKIA,SADIYA,160,0,43,0
BIHAR,ARARIA,ARARIA,1738,0,116,0
BIHAR,ARARIA,BHARGAMA,1208,0,79,0
BIHAR,ARARIA,FORBESGANJ,2942,0,147,0
BIHAR,ARARIA,JOKIHAT,1503,0,48,0
BIHAR,ARARIA,KURSAKATTA,1023,0,165,11
BIHAR,ARARIA,NARPAIGANJ,917,0,650,0
BIHAR,ARARIA,PALASI,1913,0,217,1
BIHAR,ARARIA,RANIGANJ,738,0,90,0
BIHAR,ARARIA,SIKTI,1109,1,192,0
BIHAR,AURANGABAD,AURANGABAD,663,0,124,0
BIHAR,AURANGABAD,BARUN,1068,3,74,0
BIHAR,AURANGABAD,DAUDNAGAR,323,0,45,0
BIHAR,AURANGABAD,DEO,460,0,42,0
BIHAR,AURANGABAD,GOH,1217,1,44,0
BIHAR,AURANGABAD,HASPURA,934,1,40,0
BIHAR,AURANGABAD,KUTUMBA,797,3,67,2
BIHAR,AURANGABAD,MADANPUR,642,0,89,0
BIHAR,AURANGABAD,NABINAGAR,517,0,193,3
BIHAR,AURANGABAD,OBRA,719,0,61,0
BIHAR,AURANGABAD,RAFIGANJ,1437,0,72,0
BIHAR,BANKA,AMARPUR,1276,0,9,0
BIHAR,BANKA,BANKA,227,1,211,0
BIHAR,BANKA,BARAHAT,438,0,26,0
BIHAR,BANKA,BELHAR,403,0,31,0
BIHAR,BANKA,DHURAIYA,1228,0,43,0
BIHAR,BANKA,KATORIA,13,0,36,0
BIHAR,BANKA,PHULLIDUMAR,329,0,46,0
BIHAR,BANKA,RAJAN,1013,2,25,0
BIHAR,BANKA,SAMBHUGANJ,998,0,40,3
BIHAR,BEGUSARAI,BACHHAWARA,2057,0,204,0
BIHAR,BEGUSARAI,BAKHARI,730,0,148,0
BIHAR,BEGUSARAI,BALIA,1377,0,111,0
BIHAR,BEGUSARAI,BARAUNI,1421,4,119,0
BIHAR,BEGUSARAI,BEGUSARAI,2370,3,194,3
BIHAR,BEGUSARAI,BHAGAWANPUR,1706,1,234,0
BIHAR,BEGUSARAI,BIRPUR,795,0,565,0
BIHAR,BEGUSARAI,CHERIA BARIARPUR,1439,0,203,0
BIHAR,BEGUSARAI,CHHAURAHI,1450,0,414,0
BIHAR,BEGUSARAI,DANDARI,1128,0,127,0
BIHAR,BEGUSARAI,GARHPURA,867,0,158,7
BIHAR,BEGUSARAI,KHUDABANDPUR,715,0,326,0
BIHAR,BEGUSARAI,MANSURCHAK,369,13,238,0
BIHAR,BEGUSARAI,MATIHANI,1620,0,127,0
BIHAR,BEGUSARAI,NAOKHOTHI,1226,0,184,0
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,903,0,48,0
BIHAR,BEGUSARAI,TEGHRA,1350,1,246,0
BIHAR,BHABUA,BHABUA,1335,0,35,0
BIHAR,BHABUA,BHAGWANPUR,232,5,69,0
BIHAR,BHABUA,CHAINPUR,828,0,55,0
BIHAR,BHABUA,CHAND,531,0,136,0
BIHAR,BHABUA,DURGAWATI,1621,6,74,0
BIHAR,BHABUA,KUDRA,1817,4,101,7
BIHAR,BHABUA,MOHANIA,2419,2,65,0
BIHAR,BHABUA,NUAWN,1197,0,45,0
BIHAR,BHABUA,RAMGAR,1548,1,20,0
BIHAR,BHABUA,RAMPUR,113,0,36,0
BIHAR,BHAGALPUR,BIHPUR,846,0,159,0
BIHAR,BHAGALPUR,GAURIDIH,209,0,91,0
BIHAR,BHAGALPUR,GOPALPUR,692,0,93,0
BIHAR,BHAGALPUR,ISMAILPUR,323,0,73,0
BIHAR,BHAGALPUR,JAGDISHPUR,56,0,97,0
BIHAR,BHAGALPUR,KAHALGAON,552,0,84,0
BIHAR,BHAGALPUR,KHARIK,1104,0,153,0
BIHAR,BHAGALPUR,NARAINPUR,375,0,118,0
BIHAR,BHAGALPUR,NATHNAGAR,685,1,17,0
BIHAR,BHAGALPUR,NAUGACHHIA,986,1,182,0
BIHAR,BHAGALPUR,PIRPAINTI,1161,0,184,0
BIHAR,BHAGALPUR,RANGRACHOWK,499,0,70,0
BIHAR,BHAGALPUR,SABOUR,279,1,454,0
BIHAR,BHAGALPUR,SHAHKUND,1330,0,32,0
BIHAR,BHAGALPUR,SONHAULLA,608,0,47,0
BIHAR,BHAGALPUR,SULTANGANJ,893,0,49,0
BIHAR,BHOJPUR,AGIAON,467,0,93,0
BIHAR,BHOJPUR,ARRAHSADAR,1317,1,56,0
BIHAR,BHOJPUR,BARBARA,896,3,183,1
BIHAR,BHOJPUR,BEHIA,1378,0,41,0
BIHAR,BHOJPUR,CHARPOKHARI,722,5,41,2
BIHAR,BHOJPUR,GARHANI,607,0,117,0
BIHAR,BHOJPUR,JAGDISHPUR,2854,0,63,0
BIHAR,BHOJPUR,KOILWAR,1397,8,59,0
BIHAR,BHOJPUR,PIRO,1302,0,15,0
BIHAR,BHOJPUR,SAHAR,303,0,214,0
BIHAR,BHOJPUR,SAHPUR,647,4,114,0
BIHAR,BHOJPUR,SANDISH,1155,0,70,0
BIHAR,BHOJPUR,TARARI,872,9,41,1
BIHAR,BHOJPUR,UDWABTNAGAR,888,0,224,0
BIHAR,BUXAR,BRAHAMPUR,578,0,122,0
BIHAR,BUXAR,BUXAR,1281,1,22,0
BIHAR,BUXAR,CHANGAIN,564,0,130,0
BIHAR,BUXAR,CHARKKI,195,0,55,0
