-----
{
 "description": "The table refers to district wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.8.csv", 
 "title": "Download CSV for Districtwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.8.csv"
}
-----
"State","District","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"WEST BENGAL","JALPAIGURI",151,0,358,94,28,631
"WEST BENGAL","MALDA",27,1,1446,297,18,1789
"WEST BENGAL","MIDNAPORE",623,92,12528,522,1279,15044
"WEST BENGAL","MURSHIDABAD",8,9,2774,318,43,3152
"WEST BENGAL","NADIA",1,0,4,201,95,301
"WEST BENGAL","NORTH 24 PARGANAS",199,0,569,167,225,1160
"WEST BENGAL","PURULIA",34,7,210,134,55,440
"WEST BENGAL","SOUTH 24 PARGANAS",205,136,12723,381,3155,16600
"WEST BENGAL","UTTAR DINAJPUR",6,0,189,94,3,292
"ANDAMAN & NICOBARS","ANDAMAN",1,0,49,0,1121,1171
"ANDAMAN & NICOBARS","NICOBARS",0,0,0,0,39,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,0,53,1,0,54
"PONDICHERRY","KARAIKAL",0,0,6,0,0,6
"PONDICHERRY","YANAM",0,0,400,0,0,400
