-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"KERALA","ERANAKULAM",26,17273,17299,35,11725,11760,34,10812,10846
"KERALA","IDDUKKI",251,5425,5676,2064,6995,9059,1858,6199,8057
"KERALA","KANNUR",154,14822,14976,70,8928,8998,70,8375,8445
"KERALA","KASARAGODE",22,6540,6562,13,3907,3920,11,3139,3150
"KERALA","KOLLAM",1,5935,5936,0,1630,1630,0,1533,1533
"KERALA","KOTTAYAM",10,10670,10680,11,8079,8090,10,6945,6956
"KERALA","KOZHIKODE",59,12473,12532,36,5326,5362,31,5098,5129
"KERALA","MALAPPURAM",12,12117,12129,22,8636,8658,16,7283,7299
"KERALA","PALAKKAD",23,8831,8854,182,9221,9403,176,8633,8809
"KERALA","PATHANAMTHITTA",5,6567,6572,2,2586,2588,2,2215,2217
"KERALA","THIRUVANANTHAPURAM",65,12927,12992,179,5115,5293,155,4425,4580
"KERALA","THRISSUR",26,44341,44367,10,20202,20212,10,19400,19410
"KERALA","WAYANAD",15,659,674,63,1381,1444,55,1124,1179
"MADHYA PRADESH","BALAGHAT",35,12268,12303,66,24786,24852,24,21374,21398
"MADHYA PRADESH","BARWANI",2,13004,13006,2,34727,34729,0,15728,15728
"MADHYA PRADESH","BETUL",105,35978,36083,148,62563,62711,140,43048,43188
"MADHYA PRADESH","BHIND",838,11178,12016,4242,78477,82719,2514,48199,50712
"MADHYA PRADESH","BHOPAL",5,10003,10008,7,59547,59554,6,47183,47189
"MADHYA PRADESH","CHHATARPUR",483,52656,53139,1031,173360,174392,979,170083,171062
"MADHYA PRADESH","CHHINDWARA",23,72983,73006,25,127253,127278,11,79133,79144
"MADHYA PRADESH","DAMOH",26,12267,12293,24,79820,79844,24,69272,69297
"MADHYA PRADESH","DATIA",430,18387,18817,1266,64786,66052,1028,51524,52552
"MADHYA PRADESH","DEWAS",22,30418,30440,42,88039,88081,14,52548,52561
"MADHYA PRADESH","DHAR",127,15066,15193,256,52981,53236,96,11646,11742
"MADHYA PRADESH","DINDORI",3,199,202,1,162,163,0,56,56
"MADHYA PRADESH","GUNA",162,27099,27261,405,72107,72512,405,70875,71280
"MADHYA PRADESH","GWALIOR",2418,12287,14705,5702,30216,35918,4726,23557,28283
"MADHYA PRADESH","HARDA",1,11330,11331,1,34189,34190,1,27638,27639
"MADHYA PRADESH","HOSHANGABAD",29,20021,20050,185,132269,132454,160,126190,126349
"MADHYA PRADESH","INDORE",59,9268,9327,200,24777,24977,108,16854,16962
"MADHYA PRADESH","JABALPUR",74,9197,9271,92,36740,36831,87,29984,30071
"MADHYA PRADESH","JHABUA",18,5443,5461,90,7732,7822,16,3405,3421
"MADHYA PRADESH","KATNI",23,11893,11916,76,28719,28795,49,22518,22568
"MADHYA PRADESH","KHANDWA",263,37584,37847,556,94081,94637,232,55909,56141
"MADHYA PRADESH","KHARGONE",5,45665,45670,13,120809,120822,5,65937,65942
"MADHYA PRADESH","MANDLA",1,2153,2154,0,4410,4410,0,2937,2937
"MADHYA PRADESH","MANDSAUR",3390,75876,79266,5211,116921,122132,1631,40157,41787
