-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,NELLORE,KALUVOYA,0,0,0,28,32,0,60
ANDHRA PRADESH,NELLORE,KAVALI,1,0,0,0,32,0,33
ANDHRA PRADESH,NELLORE,KONDAPURAM,11,0,0,27,27,0,65
ANDHRA PRADESH,NELLORE,MANUBOLU,0,0,0,4,0,0,4
ANDHRA PRADESH,NELLORE,MARRIPADU,0,0,0,0,101,0,101
ANDHRA PRADESH,NELLORE,NELLORE,4,0,0,0,116,0,120
ANDHRA PRADESH,NELLORE,PODLAKUR,2,0,0,1,542,0,545
ANDHRA PRADESH,NELLORE,RAPUR,0,0,0,0,52,0,52
ANDHRA PRADESH,NELLORE,SANGAM,0,0,0,62,160,0,222
ANDHRA PRADESH,NELLORE,SULLURPETA,0,0,0,0,44,0,44
ANDHRA PRADESH,NELLORE,SYDAPURAM,0,0,0,0,127,0,127
ANDHRA PRADESH,NELLORE,TADA,0,0,0,0,140,0,140
ANDHRA PRADESH,NELLORE,VARIKUNTAPADU,0,1,0,0,98,0,99
ANDHRA PRADESH,NELLORE,VENKATACHALAM,1,0,0,3,64,0,68
ANDHRA PRADESH,NELLORE,VENKATAGIRI,0,0,1,23,71,0,95
ANDHRA PRADESH,NELLORE,VIDAVALUR,0,1,0,2,19,0,22
ANDHRA PRADESH,NELLORE,VINJAMUR,0,0,0,0,40,0,40
ANDHRA PRADESH,NIZAMABAD,BANSWADA,0,0,0,4,217,0,221
ANDHRA PRADESH,NIZAMABAD,BICHKUNDA,0,0,0,0,122,0,122
ANDHRA PRADESH,NIZAMABAD,BIRKOOR,0,0,0,0,149,0,149
ANDHRA PRADESH,NIZAMABAD,BODHAN,0,0,0,0,55,0,55
ANDHRA PRADESH,NIZAMABAD,JUKKAL,0,0,0,0,8,0,8
ANDHRA PRADESH,NIZAMABAD,KOTGIRI,1,0,0,0,106,0,107
ANDHRA PRADESH,NIZAMABAD,LINGAMPET,3,0,0,0,65,0,68
ANDHRA PRADESH,NIZAMABAD,MADNUR,0,0,0,0,3,0,3
ANDHRA PRADESH,NIZAMABAD,MORTAD,0,0,0,0,78,0,78
ANDHRA PRADESH,NIZAMABAD,NAGA REDDIPET,0,0,0,0,146,0,146
ANDHRA PRADESH,NIZAMABAD,NIZAM SAGAR,0,0,0,0,326,0,326
ANDHRA PRADESH,NIZAMABAD,PITLAM,0,0,0,1,339,0,340
ANDHRA PRADESH,NIZAMABAD,YELLAREDDY,0,0,0,0,160,0,160
ANDHRA PRADESH,PRAKASAM,ADDANKI,2,0,0,41,29,0,72
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,0,0,0,4,8,0,12
ANDHRA PRADESH,PRAKASAM,BALLIKURUVA,3,0,0,6,1,0,10
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,0,0,0,47,37,0,84
ANDHRA PRADESH,PRAKASAM,CHIMAKURTHI,9,0,0,1,0,0,10
ANDHRA PRADESH,PRAKASAM,CHINAGANJAM,1,0,0,16,4,0,21
ANDHRA PRADESH,PRAKASAM,CHIRALA,1,2,0,0,11,0,14
ANDHRA PRADESH,PRAKASAM,INKOLLU,16,0,0,6,1,0,23
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,3,0,0,27,8,0,38
ANDHRA PRADESH,PRAKASAM,KANDUKUR,4,0,0,4,0,0,8
ANDHRA PRADESH,PRAKASAM,KANIGIRI,2,0,1,0,0,0,3
ANDHRA PRADESH,PRAKASAM,KARAMCHEDU,2,4,0,34,7,0,47
ANDHRA PRADESH,PRAKASAM,KONAKANAMITLA,0,1,1,9,5,0,16
ANDHRA PRADESH,PRAKASAM,KONDAPI,13,0,0,24,6,3,46
ANDHRA PRADESH,PRAKASAM,KORISAPADU,0,0,0,12,9,0,21
ANDHRA PRADESH,PRAKASAM,KOTHAPATNAM,0,0,0,9,0,0,9
ANDHRA PRADESH,PRAKASAM,KURICHEDU,1,0,0,0,0,0,1
ANDHRA PRADESH,PRAKASAM,LINGASAMUDRAM,1,0,0,9,0,0,10
ANDHRA PRADESH,PRAKASAM,MADDIPADU,0,0,0,114,17,0,131
ANDHRA PRADESH,PRAKASAM,MARKAPUR,1,0,0,0,0,0,1
ANDHRA PRADESH,PRAKASAM,MARTUR,1,0,0,42,13,0,56
ANDHRA PRADESH,PRAKASAM,MUNDLAMURU,1,0,0,20,2,1,24
ANDHRA PRADESH,PRAKASAM,NAGULUPPALAPADU,1,0,0,11,13,0,25
ANDHRA PRADESH,PRAKASAM,ONGOLE,1,0,0,25,0,0,26
ANDHRA PRADESH,PRAKASAM,PAMUR,0,0,0,17,21,0,38
ANDHRA PRADESH,PRAKASAM,PARCHUR,3,1,1,15,25,1,46
ANDHRA PRADESH,PRAKASAM,PEDACHERLOPALLE,2,0,0,130,142,0,274
ANDHRA PRADESH,PRAKASAM,PODILI,0,0,0,4,8,0,12
ANDHRA PRADESH,PRAKASAM,PONNALURU,4,2,0,12,2,0,20
