-----
{
 "description": "The table refers to block wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.8.csv", 
 "title": "Download CSV for Block wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,1205,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,5,1,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,96,0,1,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,40,0,167,22,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,8,1,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,0,0,335,5,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,3,0,1103,172,0,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,0,95,1,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,46,2,730,0,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,0,47,1,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,6,91,16,9,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,13,202,1,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,23,0,7,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,0,0,3,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,0,0,39,16,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,1,2,553,248,153,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,11,0,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,8,0,366,0,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,0,0,667,0,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,29,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,399,0,0,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,1,232,34,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,1,0,246,3,28,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,3,556,20,1,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,0,110,4,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,13,15,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,150,3,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,30,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,0,0,575,38,0,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,0,0,551,0,2,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,0,0,100,0,6,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,0,0,492,0,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,0,0,1210,71,0,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,0,0,94,0,128,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,0,0,1303,0,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,136,0,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,0,517,0,97,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,0,132,0,25,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,32,0,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,0,0,54,0,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,122,0,17,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,1,1735,0,0,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,51,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,0,0,51,0,1,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,0,0,733,0,6,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,19,0,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,1,710,0,0,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,360,0,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,0,0,1,0,231,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,0,0,64,0,11,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1,0,1255,0,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,301,0,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,0,0,430,0,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,0,724,0,6,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,0,0,194,48,322,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,1,0,788,0,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,0,0,301,0,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,1,258,0,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,331,0,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,1,604,0,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,303,0,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,0,0,208,0,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,2,0,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,1,0,574,0,0,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,17,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,0,0,1066,0,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,0,0,371,0,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,130,0,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,66,0,0,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,0,282,0,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,0,0,637,0,0,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,29,0,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,0,377,0,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,0,400,57,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,0,42,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,0,1,1007,3,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,11,0,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,0,0,302,0,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,8,0,203,0,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,1,0,22,0,5,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,0,50,0,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,0,1,957,0,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,0,158,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,0,31,0,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,0,97,0,2,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,2,0,43,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,2,8,1450,0,1,1461
ANDHRA PRADESH,GUNTUR,DURGI,0,0,0,0,31,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,0,2,30,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,0,0,30,0,0,30
