-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.9.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.9.csv"
}
-----
State,District,Block,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,374,3,0,0,0,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,399,58,0,0,0,0,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,42,0,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,988,22,1,0,0,0,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,11,0,0,0,0,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,212,90,0,0,0,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,196,12,3,0,0,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,13,11,0,4,0,0,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,37,13,0,0,0,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,957,0,1,0,0,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,42,116,0,0,0,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,31,0,0,0,0,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,86,0,0,0,13,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,43,2,0,0,0,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1112,349,0,0,0,0,1461
ANDHRA PRADESH,GUNTUR,DURGI,31,0,0,0,0,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,15,17,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,25,5,0,0,0,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,39,24,0,0,0,0,63
ANDHRA PRADESH,GUNTUR,IPUR,12,2,0,0,0,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,49,17,0,0,0,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,38,2,0,0,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1281,394,0,0,0,0,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,2441,92,0,0,0,0,2533
ANDHRA PRADESH,GUNTUR,KROSURU,2,2,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,97,11,0,0,0,0,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,889,1,0,0,0,0,890
ANDHRA PRADESH,GUNTUR,NADENDLA,0,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,33,0,0,0,0,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,3,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,38,19,0,0,0,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,89,0,0,0,0,0,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,954,7,0,0,0,0,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,18,3,0,0,0,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,22,3,0,0,0,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,24,5,0,0,0,0,29
ANDHRA PRADESH,GUNTUR,REPALLE,87,1,0,0,0,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,6,0,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,1004,15,0,0,0,0,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,326,1,0,0,0,0,327
ANDHRA PRADESH,GUNTUR,TENALI,539,320,0,0,0,0,859
