-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.14.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.14.csv"
}
-----
"State","District","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"ORISSA","JAGATSINGHPUR",172,420,5,3,600
"ORISSA","JAJPUR",1204,2704,33,3,3944
"ORISSA","JHARSUGUDA",1102,919,29,0,2050
"ORISSA","KALAHANDI",2245,1145,295,51,3736
"ORISSA","KENDRAPARA",890,9132,36,58,10116
"ORISSA","KEONJHAR",3272,3525,137,1,6935
"ORISSA","KHURDA",850,863,25,13,1751
"ORISSA","KORAPUT",1958,1442,59,0,3459
"ORISSA","MALKANGIRI",115,126,12,0,253
"ORISSA","MAYURBHANJ",1424,2165,4,0,3593
"ORISSA","NAYAGARH",248,260,354,25,887
"ORISSA","NOWRANGPUR",2383,1852,148,3,4386
"ORISSA","NUAPADA",658,422,24,0,1104
"ORISSA","PHULBANI",429,188,2,0,619
"ORISSA","PURI",302,7713,280,22,8317
"ORISSA","RAYAGADA",2546,1145,54,14,3759
"ORISSA","SAMBALPUR",3708,2777,41,11,6537
"ORISSA","SONEPUR",1343,1346,21,1,2711
"ORISSA","SUNDARGARH",1406,3350,228,6,4990
"PUNJAB","AMRITSAR",2742,2888,0,78,5708
"PUNJAB","FARIDKOT",108,120,0,0,228
"PUNJAB","GURDASPUR",107,117,10,0,234
"PUNJAB","HOSHIARPUR",40,40,0,0,80
"PUNJAB","JALANDHAR",14,14,0,9,37
"PUNJAB","KAPURTHALA",0,152,0,0,152
"PUNJAB","PATIALA",525,538,4,21,1088
"PUNJAB","ROPAR",385,431,3,1,820
"PUNJAB","SANGRUR",213,213,0,0,426
"RAJASTHAN","AJMER",0,0,0,0,0
"RAJASTHAN","BARAN",0,959,0,0,959
"RAJASTHAN","BHILWARA",13,1361,0,0,1374
"RAJASTHAN","BUNDI",0,180,0,0,180
"RAJASTHAN","CHITTORGARH",0,1201,0,0,1201
"RAJASTHAN","CHURU",1,0,0,0,1
"RAJASTHAN","DHOLPUR",0,0,0,0,0
"RAJASTHAN","DUNGARPUR",58,2349,1,157,2565
"RAJASTHAN","JHALAWAR",0,1535,0,0,1535
"RAJASTHAN","KOTA",0,234,0,0,234
"RAJASTHAN","NAGAUR",0,120,0,0,120
"RAJASTHAN","RAJSAMAND",0,27,0,0,27
"RAJASTHAN","SIROHI",47,30,0,0,77
"RAJASTHAN","TONK",0,6,0,0,6
"RAJASTHAN","UDAIPUR",0,516,0,0,516
"TAMIL NADU","COIMBATORE",62.29,1.3,33.5,0,97.09
"TAMIL NADU","CUDDALORE",107.58,302.02,15.77,206.02,631.39
"TAMIL NADU","DHARMAPURI",13.99,0,4,0,17.99
"TAMIL NADU","DINDIGUL",14.56,17.36,156.62,0,188.54
"TAMIL NADU","ERODE",2634.27,1977.71,891.06,272.42,5775.46
"TAMIL NADU","KANCHIPURAM",3.18,106.58,0.6,1,111.36
"TAMIL NADU","KARUR",1.8,2.21,0.12,0,4.13
"TAMIL NADU","NAGAPATTINAM",0,290.18,0,0,290.18
"TAMIL NADU","NAMAKKAL",1928.55,1.3,0.16,0,1930.01
"TAMIL NADU","PERAMBALUR",21.39,468.54,0,0,489.93
"TAMIL NADU","PUDUKOTTAI",189.78,7.06,0,0,196.84
"TAMIL NADU","RAMNATHAPURAM",18.3,0,0,0,18.3
"TAMIL NADU","SALEM",60.24,0,0,0,60.24
"TAMIL NADU","SIVAGANGA",145.58,19.27,0,0,164.85
"TAMIL NADU","THANJAVUR",161.58,292.96,74.84,0,529.38
"TAMIL NADU","THENI",0,0,0,0,0
"TAMIL NADU","TIRUVALLUR",2371.06,235.73,211.34,0,2818.13
"TAMIL NADU","TIRUVARUR",952.05,885.31,0,0,1837.36
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0
"TAMIL NADU","VILLUPURAM",742.17,1722.88,56.11,31.92,2553.08
"TRIPURA","DHALAI",1015,1065,35,263,2378
"TRIPURA","NORTH",1695,1355,314,319,3683
"TRIPURA","SOUTH",3396,3267,168,424,7255
"TRIPURA","WEST",2923,3957,94,82,7056
"UTTAR PRADESH","AGRA",24,100,3,18,145
"UTTAR PRADESH","ALLAHABAD",285,787,63,10,1145
"UTTAR PRADESH","ALMORA",549,502,98,20,1169
"UTTAR PRADESH","AZAMGARH",52,58,13,0,123
"UTTAR PRADESH","BALLIA",7653,8980,384,353,17370
"UTTAR PRADESH","BANDA",330,1545,72,0,1947
"UTTAR PRADESH","BIJNOR",15,15,40,1,71
"UTTAR PRADESH","DEHRADUN",528,447,13,17,1005
"UTTAR PRADESH","DEORIA",35,45,0,0,80
"UTTAR PRADESH","ETAWAH",13,40,0,0,53
"UTTAR PRADESH","FARUKHABAD",4,10,2,2,18
"UTTAR PRADESH","FATEHPUR",39,52,3,5,99
"UTTAR PRADESH","GONDA",292,387,64,30,773
"UTTAR PRADESH","HAMIRPUR",12,9,0,0,21
"UTTAR PRADESH","JALAUN",128,755,41,12,936
"UTTAR PRADESH","JAUNPUR",76,87,25,10,198
"UTTAR PRADESH","JHANSI",20,291,0,0,311
"UTTAR PRADESH","KANPUR DEHAT",141,521,148,21,831
"UTTAR PRADESH","KUSHI NAGAR",12,20,5,0,37
"UTTAR PRADESH","LALITPUR",0,0,0,0,0
"UTTAR PRADESH","LUCKNOW",5,5,0,0,10
"UTTAR PRADESH","MAHRAJGANJ",30,24,0,1,55
"UTTAR PRADESH","MIRZAPUR",504,525,1,36,1066
"UTTAR PRADESH","NAINITAL",22,22,0,0,44
"UTTAR PRADESH","PAURI GARHWAL",45,43,1,0,89
