-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical breakdown,Constraints in utilisation - Less water discharge,Constraints in utilisation - Storage siltation,Constraints in utilisation - Channel break down,Constraints in utilisation - Other reasons,Total,Total in use
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,423,26,6,5,0,0,0,37,460
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,21,0,0,5,0,0,0,5,26
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,321,13,0,0,0,0,0,13,334
ANDHRA PRADESH,MEDAK,ANDOLE,99,0,0,16,0,0,0,16,115
ANDHRA PRADESH,MEDAK,KOWDIPALLE,60,0,0,17,0,0,0,17,77
ANDHRA PRADESH,MEDAK,KULCHARAM,121,0,0,36,0,0,0,36,157
ANDHRA PRADESH,MEDAK,MANOOR,31,0,0,0,0,0,0,0,31
ANDHRA PRADESH,MEDAK,PAPANNAPET,134,6,0,73,0,0,0,79,213
ANDHRA PRADESH,MEDAK,PULKAL,77,0,0,36,0,0,0,36,113
ANDHRA PRADESH,MEDAK,SADASIVPET,0,0,0,2,0,0,0,2,2
ANDHRA PRADESH,MEDAK,SHANKARAMPET (A),209,0,0,68,0,0,0,68,277
ANDHRA PRADESH,NALGONDA,ANUMULA,2,0,0,5,0,0,0,5,7
ANDHRA PRADESH,NALGONDA,CHILKUR,58,73,0,2,0,0,0,75,133
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,37,8,0,856,5,0,29,898,935
ANDHRA PRADESH,NALGONDA,GARIDE PALLE,178,11,1,74,121,0,9,216,394
ANDHRA PRADESH,NALGONDA,HUZURNAGAR,131,0,0,151,29,0,0,180,311
ANDHRA PRADESH,NALGONDA,KETHEPALLE,1,0,0,0,0,0,0,0,1
ANDHRA PRADESH,NALGONDA,KODAD,607,87,0,34,8,0,0,129,736
