-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ORISSA","KEONJHAR",92,0,0,8,685,0,785
"ORISSA","KHURDA",9,0,0,13,835,1,858
"ORISSA","KORAPUT",0,0,0,0,5,0,5
"ORISSA","MAYURBHANJA",19,0,0,37,1784,1,1841
"ORISSA","NAWARANGAPUR",2,0,0,0,9,0,11
"ORISSA","NAYAGARH",32,0,0,0,227,1,260
"ORISSA","NUAPADA",1,0,0,1,9,0,11
"ORISSA","PURI",40,1,1,27,5669,9,5747
"ORISSA","RAYAGADA",253,0,0,3,122,3,381
"ORISSA","SAMBALPUR",0,0,0,0,23,0,23
"ORISSA","SONEPUR",0,0,0,0,20,0,20
"ORISSA","SUNDARGARH",2,0,0,1,30,0,33
"PONDICHERRY","KARAIKAL",34,0,0,0,248,9,291
"PONDICHERRY","PONDICHERRY",10,13,2,23,4011,20,4079
"PUNJAB","AMRITSER",3,5,24,7,124763,7,124809
"PUNJAB","BATHINDA",3,36,126,150,43048,10,43373
"PUNJAB","FARIDKOT",2,1,0,2,28547,4,28556
"PUNJAB","FATEHGARH SAHIB",83,14,421,49,31811,23,32401
"PUNJAB","FEROZEPUR",26,8,79,11,91533,5,91662
"PUNJAB","GURDASPUR",28,1,84,293,70418,16,70840
"PUNJAB","HOSHIARPUR",9,38,33,225,59552,22,59879
"PUNJAB","JALANDHAR",16,179,62,670,68141,14,69082
"PUNJAB","KAPURTHALA",33,2,98,776,47796,18,48723
"PUNJAB","LUDHIANA",164,11,529,2588,105400,165,108857
"PUNJAB","MANSA",4,7,101,495,41348,18,41973
"PUNJAB","MOGA",6,61,105,173,53231,65,53641
"PUNJAB","MUKATSAR",1,0,0,1,27216,0,27218
"PUNJAB","NAWANSHAHAR",21,5,277,821,26866,1,27991
"PUNJAB","PATIALA",35,9,355,2023,77979,97,80498
"PUNJAB","ROPAR",40,0,17,141,29911,49,30158
"PUNJAB","SANGRUR",29,528,502,1346,124894,157,127456
"RAJASTHAN","AJMER",0,0,0,54,41,3,98
"RAJASTHAN","ALWAR",5,4,5,8114,13922,2,22052
"RAJASTHAN","BANSWARA",0,0,0,18,75,0,93
"RAJASTHAN","BARAN",13,0,0,521,3047,9,3590
"RAJASTHAN","BARMER",0,0,0,13,40,0,53
"RAJASTHAN","BHARATPUR",12,2,13,11305,24389,7,35728
"RAJASTHAN","BHILWARA",0,0,0,194,140,0,334
"RAJASTHAN","BIKANER",0,0,0,1,9,0,10
"RAJASTHAN","BUNDI",5,0,3,802,3313,3,4126
"RAJASTHAN","CHITTORGARH",3,1,7,1325,1126,0,2462
"RAJASTHAN","CHURU",0,0,0,26,89,0,115
"RAJASTHAN","DAUSA",50,0,1,2956,1179,3,4189
"RAJASTHAN","DHOLPUR",18,1,1,6663,8060,19,14762
"RAJASTHAN","DUNGARPUR",2,0,0,70,146,5,223
"RAJASTHAN","GANGANAGAR",0,0,0,0,103,0,103
"RAJASTHAN","HANUMANGARH",1,0,0,0,1180,0,1181
"RAJASTHAN","JAIPUR",2,1,1,1802,1119,10,2935
"RAJASTHAN","JAISALMER",0,0,0,0,6,0,6
