-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MADHYA PRADESH,DINDORI,DINDORI,5,3,4,0,0,0,10,22
MADHYA PRADESH,DINDORI,KARANJIYA,0,0,7,0,0,0,2,9
MADHYA PRADESH,DINDORI,SAMNAPUR,0,2,0,0,0,0,312,314
MADHYA PRADESH,DINDORI,SHAHPURA,15,1,2,0,0,2,77,97
MADHYA PRADESH,GUNA,ARON,0,36,410,5,2,0,0,453
MADHYA PRADESH,GUNA,ASHOKNAGAR,49,726,1890,82,7,6,2,2762
MADHYA PRADESH,GUNA,BAMORI,1,483,194,13,72,1,25,789
MADHYA PRADESH,GUNA,CHANCHODA,70,8724,586,41,5,18,196,9640
MADHYA PRADESH,GUNA,CHANDERI,3,252,671,29,9,1,0,965
MADHYA PRADESH,GUNA,EHSAGADH,2,115,1173,61,3,1,29,1384
MADHYA PRADESH,GUNA,GUNA,6,1332,1452,53,181,5,218,3247
MADHYA PRADESH,GUNA,MUNGAWALI,47,16,1440,209,90,3,43,1848
MADHYA PRADESH,GUNA,RAGHOGARH,17,4582,1594,4,12,10,34,6253
MADHYA PRADESH,GWALIOR,BHITARWAR,659,1840,2190,12,0,1,26,4728
MADHYA PRADESH,GWALIOR,DABRA,602,970,1893,63,11,5,52,3596
MADHYA PRADESH,GWALIOR,GHATIGAWAN,545,781,3043,48,4,4,185,4610
MADHYA PRADESH,GWALIOR,MORAR,108,706,3924,94,25,3,117,4977
MADHYA PRADESH,HARDA,HARDA,34,260,1916,80,74,0,192,2556
MADHYA PRADESH,HARDA,KHIRKIYA,16,4061,3416,29,23,9,66,7620
MADHYA PRADESH,HARDA,TIMARNI,41,994,1795,12,18,14,17,2891
MADHYA PRADESH,HOSHANGABAD,BABAI,15,2102,1838,8,3,2,103,4071
MADHYA PRADESH,HOSHANGABAD,BANKHEDI,392,3322,2100,7,0,2,111,5934
MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,485,860,857,11,4,4,120,2341
MADHYA PRADESH,HOSHANGABAD,KESLA,133,528,730,0,2,4,53,1450
MADHYA PRADESH,HOSHANGABAD,PIPARIYA,32,1395,968,40,19,1,111,2566
MADHYA PRADESH,HOSHANGABAD,SEONIMALWA,186,833,1874,13,21,5,34,2966
MADHYA PRADESH,HOSHANGABAD,SOHAGPUR,100,980,733,4,19,2,157,1995
MADHYA PRADESH,INDORE,DEPAL PUR,1,438,1325,5,2,1,26,1798
MADHYA PRADESH,INDORE,INDORE,8,361,3189,0,16,1,1139,4714
MADHYA PRADESH,INDORE,MHOW,1,1646,4117,4,6,3,2,5779
MADHYA PRADESH,INDORE,SANWER,0,35,288,18,0,1,74,416
MADHYA PRADESH,JABALPUR,BARGI,36,903,1281,64,31,3,44,2362
MADHYA PRADESH,JABALPUR,KUNDAM,60,53,250,4,29,2,38,436
MADHYA PRADESH,JABALPUR,MAJHOLI,105,372,1085,0,1,8,79,1650
MADHYA PRADESH,JABALPUR,PANAGAR,14,269,605,0,4,0,70,962
MADHYA PRADESH,JABALPUR,PATAN,1,17,120,7,3,0,17,165
MADHYA PRADESH,JABALPUR,SHAHPURA,28,31,1741,368,311,20,44,2543
