-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,GUNTUR,RAJUPALEM,1,0,0,1,0,2
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,7,4,0,0,0,11
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,10,0,0,0,0,10
ANDHRA PRADESH,GUNTUR,TADIKONDA,8,0,0,0,0,8
ANDHRA PRADESH,GUNTUR,THADEPALLE,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,THULLUR,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,VELDURTHI,5,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,VINUKONDA,6,1,1,0,0,8
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,93,25,0,0,0,118
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,88,19,0,0,0,107
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,18,55,0,0,0,73
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,50,0,0,0,0,50
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,65,37,0,0,0,102
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,115,0,0,0,0,115
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,105,0,0,0,0,105
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,131,7,0,0,0,138
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,19,36,0,0,0,55
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,55,2,0,0,0,57
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,84,0,0,0,0,84
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,59,6,0,0,0,65
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,79,6,0,0,0,85
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,60,8,0,0,0,68
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,205,1,0,0,0,206
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,107,1,0,0,0,108
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,41,31,0,0,0,72
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,59,52,0,0,0,111
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,171,1,0,0,0,172
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,21,22,0,0,0,43
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,49,39,0,0,0,88
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,14,37,0,0,0,51
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,142,7,0,0,0,149
ANDHRA PRADESH,KARIMNAGAR,KATARAM,48,32,0,0,0,80
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,24,33,0,0,0,57
ANDHRA PRADESH,KARIMNAGAR,KESAVAPATNAM,52,69,0,0,0,121
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,62,3,0,0,0,65
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,100,1,0,0,0,101
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,54,8,0,2,0,64
