-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.3.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.3.csv"
}
-----
State,District,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
UTTAR PRADESH,HARDOI,20565,14053,8288,552,43458
UTTAR PRADESH,HARDWAR,9093,7395,6559,281,23328
UTTAR PRADESH,JALAUN,1545,1879,1614,244,5282
UTTAR PRADESH,JAUNPUR,33707,17804,4261,248,56020
UTTAR PRADESH,JHANSI,373,360,321,38,1092
UTTAR PRADESH,KANPUR DEHAT,7515,4315,19642,1714,33186
UTTAR PRADESH,KANPUR NAGAR,6,0,0,7768,7774
UTTAR PRADESH,KHIRI,26553,18807,12627,822,58809
UTTAR PRADESH,KUSHI NAGAR,18479,7091,2052,221,27843
UTTAR PRADESH,LALITPUR,15,105,104,36,260
UTTAR PRADESH,LUCKNOW,11608,7559,2887,374,22428
UTTAR PRADESH,MAHOBA,31,65,71,5,172
UTTAR PRADESH,MAHRAJGANJ,19455,8137,2520,308,30420
UTTAR PRADESH,MAINPURI,6693,8395,4828,95,20011
UTTAR PRADESH,MATHURA,7586,12469,18462,158,38675
UTTAR PRADESH,MAU,4606,4482,1537,74,10699
UTTAR PRADESH,MEERUT,14068,19713,18747,603,53131
UTTAR PRADESH,MIRZAPUR,756,948,409,33,2146
UTTAR PRADESH,MORADABAD,24916,25721,17182,886,68705
UTTAR PRADESH,MUZAFFER NAGAR,20119,21763,20279,472,62633
UTTAR PRADESH,NAINITAL,50,76,59,0,185
UTTAR PRADESH,PILIBHIT,13328,8973,4198,265,26764
UTTAR PRADESH,PRATAPGARH,25883,6267,5920,130,38200
UTTAR PRADESH,RAEBARELY,19826,14008,5583,295,39712
UTTAR PRADESH,RAMPUR,24128,16160,5021,504,45813
UTTAR PRADESH,SAHARANPUR,16938,19507,17932,1033,55410
UTTAR PRADESH,SANT RAVIDAS NAGAR,2850,2876,1453,83,7262
UTTAR PRADESH,SHAHJAHANPUR,25877,28182,19206,1474,74739
UTTAR PRADESH,SIDDHARTH NAGAR,13094,6803,2358,222,22477
UTTAR PRADESH,SITAPUR,28230,18665,10201,952,58048
UTTAR PRADESH,SONBHADRA,360,453,365,62,1240
UTTAR PRADESH,SULTANPUR,20615,9420,2541,0,32576
UTTAR PRADESH,UDHAMSINGH NAGAR,7228,6498,7835,446,22007
UTTAR PRADESH,UNNAO,23866,16340,7018,536,47760
UTTAR PRADESH,VARANASI,7793,6742,3698,328,18561
WEST BENGAL,BANKURA,10066,8016,3269,218,21569
WEST BENGAL,BIRBHUM,7330,8202,3602,189,19323
WEST BENGAL,BURDWAN,16230,16561,9611,887,43289
WEST BENGAL,COOCHBEHAR,8538,8267,4272,81,21158
WEST BENGAL,DAKSHIN DINAJPUR,3071,6046,2539,158,11814
WEST BENGAL,DARJEELING,1997,218,39,11,2265
WEST BENGAL,HOOGLY,9984,6369,3392,191,19936
WEST BENGAL,HOWRAH,706,243,85,4,1038
WEST BENGAL,JALPAIGURI,2228,1316,367,22,3933
WEST BENGAL,MALDA,11728,12758,4539,143,29168
WEST BENGAL,MIDNAPORE,33332,19472,7355,1344,61503
WEST BENGAL,MURSHIDABAD,37912,28038,8092,528,74570
WEST BENGAL,NADIA,50890,24647,7523,351,83411
WEST BENGAL,NORTH 24 PARGANAS,33565,17056,5336,786,56743
WEST BENGAL,PURULIA,5,6,0,0,11
WEST BENGAL,SOUTH 24 PARGANAS,4192,1643,299,10,6144
WEST BENGAL,UTTAR DINAJPUR,8997,15327,7870,388,32582
DELHI,EAST,104,124,118,0,346
DELHI,NORTH-EAST,227,129,115,0,471
DELHI,NORTH-WEST,1169,1552,920,34,3675
DELHI,SOUTH-WEST,1479,1521,1169,11,4180
DELHI,WEST,169,78,101,0,348
PONDICHERRY,KARAIKAL,107,62,28,2,199
PONDICHERRY,PONDICHERRY,1749,1225,650,7,3631
