-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"TAMIL NADU","KANCHEEPURAM",6598,3777,4358,1056,161,9352
"TAMIL NADU","KANYAKUMARI",147,0,0,147,0,147
"TAMIL NADU","KARUR",745,518,158,57,328,1061
"TAMIL NADU","MADURAI",2483,400,2014,209,16,2639
"TAMIL NADU","NAGAPATTINAM",23108,21328,16076,625,273,38301
"TAMIL NADU","NAMAKKAL",956,784,222,109,4,1119
"TAMIL NADU","NILGIRIS",1,0,0,1,0,1
"TAMIL NADU","PERAMBALUR",5086,2665,2669,464,215,6013
"TAMIL NADU","PUDUKKOTTAI",1391,915,605,137,7,1663
"TAMIL NADU","RAMANATHAPURAM",1617,186,1274,126,96,1682
"TAMIL NADU","SALEM",102,65,27,14,5,111
"TAMIL NADU","SIVAGANGA",496,152,286,162,6,607
"TAMIL NADU","THANJAVUR",29552,24417,18300,2135,3107,47959
"TAMIL NADU","THENI",1204,456,153,659,0,1267
"TAMIL NADU","THIRUVALLUR",28113,21522,12795,1482,3299,39098
"TAMIL NADU","THIRUVARUR",21761,17971,14128,710,1253,34062
"TAMIL NADU","TIRUCHIRAPPALLI",5283,4045,4091,633,142,8910
"TAMIL NADU","TIRUNELVELI",724,254,249,337,115,955
"TAMIL NADU","TIRUVANNAMALAI",571,472,199,42,27,740
"TAMIL NADU","TUTICORIN DISTRICT",713,341,221,400,7,969
"TAMIL NADU","VELLORE",1096,537,442,257,29,1264
