-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.7.csv"
}
-----
"State","District","Farmer's saving","Loan & Savings","Subsidy & Bank loan","Others","Total"
"WEST BENGAL","BURDWAN",2780,226,263,1022,4291
"WEST BENGAL","COOCHBEHAR",603,77,71,272,1023
"WEST BENGAL","DAKSHIN DINAJPUR",3119,138,323,970,4550
"WEST BENGAL","DARJEELING",30,5,19,62,116
"WEST BENGAL","HAORA",8388,338,395,269,9390
"WEST BENGAL","HOOGHLY",7538,479,210,793,9020
"WEST BENGAL","JALPAIGURI",600,42,84,93,819
"WEST BENGAL","MALDA",2931,100,367,689,4087
"WEST BENGAL","MIDNAPORE",30903,1013,775,1665,34356
"WEST BENGAL","MURSHIDABAD",1116,71,172,499,1858
"WEST BENGAL","NADIA",53,16,89,213,371
"WEST BENGAL","NORTH 24 PARGANAS",823,28,90,92,1033
"WEST BENGAL","PURULIA",59,11,81,162,313
