-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to the constraints. The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.16.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to the constraints for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.16.csv"
}
-----
State,District,No. of Tubewell in use,No. of Tubewell with no constraints,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Grand Total
UTTAR PRADESH,FIROZABAD,19703,0,3042,2369,971,13321,19703,19703
UTTAR PRADESH,GHAZIABAD,31145,0,15183,3023,1319,11620,31145,31145
UTTAR PRADESH,GHAZIPUR,19952,419,15207,2611,177,1538,19533,19952
UTTAR PRADESH,GONDA,50716,43433,371,2814,9,4089,7283,50716
UTTAR PRADESH,GORAKHPUR,45615,0,161,1946,345,43163,45615,45615
UTTAR PRADESH,HAMIRPUR,7290,0,170,666,789,5665,7290,7290
UTTAR PRADESH,HARDOI,43460,0,902,1229,665,40664,43460,43460
UTTAR PRADESH,HARDWAR,23140,4,898,4843,155,17240,23136,23140
UTTAR PRADESH,JALAUN,5181,0,159,137,563,4322,5181,5181
UTTAR PRADESH,JAUNPUR,55634,0,15732,14068,515,25319,55634,55634
UTTAR PRADESH,JHANSI,1081,0,0,1,91,989,1081,1081
UTTAR PRADESH,KANPUR DEHAT,33440,0,28727,1780,210,2723,33440,33440
UTTAR PRADESH,KANPUR NAGAR,7774,0,5712,111,10,1941,7774,7774
UTTAR PRADESH,KHIRI,58578,0,695,1897,913,55073,58578,58578
UTTAR PRADESH,KUSHI NAGAR,27651,0,225,115,28,27283,27651,27651
UTTAR PRADESH,LALITPUR,286,0,0,1,0,285,286,286
UTTAR PRADESH,LUCKNOW,22429,0,338,1587,752,19752,22429,22429
UTTAR PRADESH,MAHOBA,173,0,64,1,51,57,173,173
UTTAR PRADESH,MAHRAJGANJ,30237,0,921,16,0,29300,30237,30237
UTTAR PRADESH,MAINPURI,19943,0,2105,14586,419,2833,19943,19943
UTTAR PRADESH,MATHURA,38675,0,5076,2636,2949,28014,38675,38675
UTTAR PRADESH,MAU,10700,0,418,140,2,10140,10700,10700
UTTAR PRADESH,MEERUT,53146,1,33191,20,55,19879,53145,53146
UTTAR PRADESH,MIRZAPUR,2139,0,504,200,131,1304,2139,2139
UTTAR PRADESH,MORADABAD,68588,1,1359,447,1259,65522,68587,68588
UTTAR PRADESH,MUZAFFER NAGAR,62631,0,30988,633,51,30959,62631,62631
UTTAR PRADESH,NAINITAL,184,0,41,0,0,143,184,184
UTTAR PRADESH,PILIBHIT,26674,0,363,110,5,26196,26674,26674
UTTAR PRADESH,PRATAPGARH,38152,0,281,321,16196,21354,38152,38152
UTTAR PRADESH,RAEBARELY,39712,0,35553,759,3400,0,39712,39712
UTTAR PRADESH,RAMPUR,45790,0,1063,43526,692,509,45790,45790
