-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to horse power of lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.10.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.10.csv"
}
-----
State,District,Block,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ORISSA,GANJAM,SHERAGADA,5,1,36,0,5,0,0,47
ORISSA,GANJAM,SORADA,0,0,6,4,4,0,0,14
ORISSA,JAGATSINGHPUR,BALIKUDA,54,46,124,1,2,1,0,228
ORISSA,JAGATSINGHPUR,BIRIDI,24,97,56,0,0,0,9,186
ORISSA,JAGATSINGHPUR,ERASAMA,6,8,0,0,0,0,0,14
ORISSA,JAGATSINGHPUR,JAGATSINGHPUR,104,105,94,1,2,0,3,309
ORISSA,JAGATSINGHPUR,KUNJANG,2,9,3,0,1,0,0,15
ORISSA,JAGATSINGHPUR,NAUGAON,24,62,83,2,0,0,0,171
ORISSA,JAGATSINGHPUR,RAGHUNATHPUR,38,148,129,0,3,1,2,321
ORISSA,JAGATSINGHPUR,TRITOL,57,51,177,45,1,0,1,332
ORISSA,JAJPUR,BARACHAN,2,6,4,0,4,0,1,17
ORISSA,JAJPUR,BARI,5,46,137,4,21,11,0,224
ORISSA,JAJPUR,BINJHARPUR,21,124,179,2,10,0,1,337
ORISSA,JAJPUR,DANAGADI,1,0,0,8,0,0,0,9
ORISSA,JAJPUR,DASARATHPUR,21,80,59,0,7,0,0,167
ORISSA,JAJPUR,DHARAMASALA,1,0,26,37,15,4,1,84
ORISSA,JAJPUR,JAJPUR,47,105,145,1,19,4,8,329
ORISSA,JAJPUR,KOREI,0,9,35,0,2,0,0,46
ORISSA,JAJPUR,RASULPUR,2,1,1,0,95,13,0,112
ORISSA,JHARSUGUDA,LAIKERA,0,0,0,0,0,0,9,9
ORISSA,KALAHANDI,BHABANI PATANA,0,1,0,0,0,0,0,1
ORISSA,KALAHANDI,JUNAGARH,0,1,1,0,0,0,4,6
ORISSA,KALAHANDI,KALAMPUR,0,0,2,0,0,0,1,3
ORISSA,KENDRAPARA,AUL,0,3,12,0,0,0,0,15
