-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,1409,1207,974,1,0
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,502,514,409,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,1444,1451,156,0,0
ANDHRA PRADESH,CUDDAPAH,B KODUR,37,37,0,0,0
ANDHRA PRADESH,CUDDAPAH,BADVEL,2371,1450,1099,0,0
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,1015,992,782,0,0
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,1103,1084,809,0,0
ANDHRA PRADESH,CUDDAPAH,CHENNUR,140,140,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,734,733,14,0,0
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,995,995,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHITVEL,2142,10,2132,0,0
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,296,296,0,0,0
ANDHRA PRADESH,CUDDAPAH,DUVVUR,296,296,0,0,0
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,567,567,152,0,0
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,1030,1030,0,0,0
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,587,583,4,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1429,1429,248,0,0
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,59,59,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1211,1211,0,0,0
ANDHRA PRADESH,CUDDAPAH,KODUR,18,18,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,2,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,768,769,87,0,0
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,253,253,106,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,607,607,39,0,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,2447,2335,784,0,0
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1386,1386,1385,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,90,90,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,18,18,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1776,1730,1151,0,0
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1134,1134,1134,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2191,2191,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,958,958,219,0,0
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,1016,959,858,0,0
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,854,854,0,0,0
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,565,547,326,0,0
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,2,2,0,0,0
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,1341,888,797,0,0
ANDHRA PRADESH,CUDDAPAH,THANDUR,99,99,99,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,205,205,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,853,853,279,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,67,67,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,556,555,108,1,0
ANDHRA PRADESH,CUDDAPAH,VEMULA,898,898,0,0,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,845,845,618,0,0
