-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"KARNATAKA","Haveri",14,2333,2347,5220,10409,15629,2168,9602,11770
"KARNATAKA","Kodagu",5,103,108,323,340,663,225,85,310
"KARNATAKA","Kolar",1,0,1,40,0,40,30,0,30
"KARNATAKA","Koppal",9,226,235,3012,1660,4672,2243,1559,3803
"KARNATAKA","Mandya",10,12,22,2142,139,2281,1941,29,1970
"KARNATAKA","Mysore",12,30,42,1042,242,1284,842,140,982
"KARNATAKA","Raichur",6,1226,1232,2244,5869,8113,820,5588,6408
"KARNATAKA","Shimoga",11,1629,1640,1352,3080,4433,1005,2888,3893
"KARNATAKA","Tumkur",4,10,14,257,112,368,164,112,276
"KARNATAKA","Udupi",3,1529,1532,408,5764,6171,201,2167,2367
"KARNATAKA","Uttara Kannada",12,151,163,1417,448,1865,512,303,816
"KERALA","ALAPPUZHA",12,21,33,4629,1384,6013,4243,1277,5520
"KERALA","ERANAKULAM",129,273,402,23801,2563,26364,23150,2555,25705
"KERALA","IDDUKKI",7,56,63,108,287,395,108,250,358
"KERALA","KANNUR",8,241,249,428,316,744,421,310,731
"KERALA","KASARAGODE",8,0,8,612,0,612,572,0,572
"KERALA","KOLLAM",10,0,10,461,0,461,412,0,412
"KERALA","KOTTAYAM",13,57,70,467,233,700,435,199,634
"KERALA","KOZHIKODE",3,270,273,63,381,444,57,371,428
"KERALA","MALAPPURAM",51,1392,1443,7054,3527,10582,5084,3236,8320
"KERALA","PALAKKAD",43,1022,1065,5867,3403,9270,5416,3264,8680
"KERALA","PATHANAMTHITTA",38,100,138,3052,1212,4263,2350,1118,3468
"KERALA","THIRUVANANTHAPURAM",0,20,20,0,63,63,0,60,60
"KERALA","THRISSUR",52,713,765,7512,4572,12084,7190,4323,11513
"KERALA","WAYANAD",58,383,441,2472,2387,4859,2256,2162,4418
"MADHYA PRADESH","BALAGHAT",74,582,656,1375,709,2084,1190,619,1809
"MADHYA PRADESH","BARWANI",2,2108,2110,5,8563,8567,2,5748,5750
"MADHYA PRADESH","BETUL",0,3013,3013,0,5348,5348,0,2555,2555
"MADHYA PRADESH","BHIND",52,14,66,1584,85,1669,800,67,867
"MADHYA PRADESH","BHOPAL",72,1772,1844,354,6658,7012,314,4989,5303
"MADHYA PRADESH","CHHATARPUR",180,2552,2732,6653,9059,15711,5017,8784,13801
"MADHYA PRADESH","CHHINDWARA",3,433,436,129,658,787,129,520,649
"MADHYA PRADESH","DAMOH",37,5325,5362,653,15950,16604,613,12641,13255
"MADHYA PRADESH","DATIA",25,328,353,55,3454,3510,48,916,964
"MADHYA PRADESH","DEWAS",187,1540,1727,454,3656,4110,323,2476,2799
"MADHYA PRADESH","DHAR",340,2600,2940,26126,17038,43165,211,5272,5483
"MADHYA PRADESH","DINDORI",8,80,88,111,62,174,16,53,69
"MADHYA PRADESH","GUNA",196,7568,7764,461,21634,22095,461,21416,21877
"MADHYA PRADESH","GWALIOR",230,287,517,2707,1856,4563,860,791,1652
"MADHYA PRADESH","HARDA",14,3245,3259,42,10314,10356,35,8474,8509
"MADHYA PRADESH","HOSHANGABAD",13,4994,5007,59,9122,9181,41,8403,8444
"MADHYA PRADESH","INDORE",11,1553,1564,21,6119,6140,15,4049,4064
"MADHYA PRADESH","JABALPUR",33,3069,3102,170,11451,11622,135,8529,8664
"MADHYA PRADESH","JHABUA",52,647,699,714,1813,2526,283,516,798
"MADHYA PRADESH","KATNI",678,3925,4603,3316,14837,18153,1716,8455,10171
"MADHYA PRADESH","KHANDWA",33,2456,2489,112,6875,6987,57,4275,4333
"MADHYA PRADESH","KHARGONE",3,5800,5803,47,24385,24432,25,17089,17114
"MADHYA PRADESH","MANDLA",6,500,506,9,332,341,9,297,306
"MADHYA PRADESH","MANDSAUR",35,1331,1366,428,2293,2721,96,1190,1285
"MADHYA PRADESH","MORENA",0,124,124,0,352,352,0,352,352
"MADHYA PRADESH","NARSINGHPUR",9,1633,1642,11,4329,4340,11,4003,4014
"MADHYA PRADESH","NEEMUCH",0,144,144,0,220,220,0,115,115
"MADHYA PRADESH","PANNA",1099,2982,4081,9980,6944,16924,2676,6538,9215
"MADHYA PRADESH","RAISEN",11,5973,5984,2009,27819,29828,478,17341,17819
"MADHYA PRADESH","RAJGARH",65,2238,2303,223,6170,6393,136,2450,2587
"MADHYA PRADESH","RATLAM",13,1139,1152,41,2344,2384,11,890,901
"MADHYA PRADESH","REWA",88,3612,3700,670,24587,25256,325,11826,12151
"MADHYA PRADESH","SAGAR",31,15946,15977,443,28917,29360,443,28112,28555
"MADHYA PRADESH","SATNA",233,2283,2516,9753,9066,18819,5465,7023,12488
"MADHYA PRADESH","SEHORE",35,1569,1604,91,4323,4414,48,3086,3134
"MADHYA PRADESH","SEONI",75,506,581,1475,1289,2764,1175,1050,2225
"MADHYA PRADESH","SHAHDOL",456,945,1401,1598,3123,4721,675,1631,2305
"MADHYA PRADESH","SHAJAPUR",172,1901,2073,518,4325,4843,265,3061,3327
"MADHYA PRADESH","SHEOPUR",180,712,892,1395,24637,26033,1395,24441,25836
"MADHYA PRADESH","SHIVPURI",481,2376,2857,2692,22528,25220,2514,22181,24694
"MADHYA PRADESH","SIDHI",50,1449,1499,1664,8317,9981,1103,7198,8301
"MADHYA PRADESH","TIKAMGARH",73,647,720,618,2810,3428,465,2247,2712
