-----
{
 "description": "The table refers to District wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.1.csv", 
 "title": "Download CSV for Districtwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH","WEST GODAVARI",9201,1749,1940,1080,703,575,280,360,15888
"ASSAM","BARPETA",540,130,263,979,688,1628,2886,2668,9782
"ASSAM","BONGAIGAON",101,86,66,49,143,528,2678,2623,6274
"ASSAM","DARRANG",138,54,65,76,418,510,3696,916,5873
"ASSAM","DHEMAJI",366,33,44,97,46,117,250,187,1140
"ASSAM","DHUBRI",564,755,274,366,762,1538,3140,2426,9825
"ASSAM","DIBRUGARH",332,7,21,36,116,334,1928,1396,4170
"ASSAM","GOALPARA",73,22,86,277,395,959,983,109,2904
"ASSAM","GOLAGHAT",847,29,55,24,94,373,897,904,3223
"ASSAM","HAILAKANDI",0,0,0,0,0,2,0,0,2
"ASSAM","JORHAT",713,44,18,45,47,492,560,29,1948
"ASSAM","KAMRUP",931,114,151,193,704,1110,1774,1995,6972
"ASSAM","KARBIANGLONG",28,4,7,0,5,10,9,2,65
"ASSAM","KARIMGANJ",4,0,0,0,0,0,0,0,4
"ASSAM","KOKRAJHAR",185,24,47,53,161,516,1032,462,2480
"ASSAM","LAKHIMPUR",594,66,39,28,27,95,354,133,1336
"ASSAM","MORIGAON",601,576,541,683,463,897,1014,702,5477
"ASSAM","NAGOAN",502,78,93,118,236,923,2292,2424,6666
"ASSAM","NALBARI",386,48,58,41,116,424,1059,1304,3436
"ASSAM","SIBSAGAR",94,12,22,110,87,189,810,762,2086
"ASSAM","SONITPUR",610,84,122,115,143,375,848,423,2720
"ASSAM","TINSUKIA",1045,66,37,56,61,203,565,248,2281
"BIHAR","ARARIA",3330,2522,2185,1593,1283,1465,859,415,13652
"BIHAR","AURANGABAD",5116,1280,921,417,352,244,153,106,8589
"BIHAR","BANKA",3395,673,455,306,314,199,98,76,5516
"BIHAR","BEGUSARAI",6932,2708,3076,2871,2593,1711,768,521,21180
"BIHAR","BHAGALPUR",4181,1886,1702,1321,1421,774,335,285,11905
"BIHAR","BHOJPUR",9018,3523,2424,1479,874,456,280,252,18306
"BIHAR","BUXAR",5302,2611,1883,1608,1155,856,275,127,13817
"BIHAR","DARBHANGA",4396,2035,1807,1696,1317,776,363,179,12569
"BIHAR","EAST CHAMPARAN",13245,6461,4984,3507,2938,2240,1109,420,34904
"BIHAR","GAYA",12099,3420,2635,2119,1699,1369,831,638,24810
"BIHAR","GOPAALGANJ",12473,3020,2238,1515,998,552,278,169,21243
"BIHAR","JAMUI",2335,543,300,329,240,94,49,80,3970
"BIHAR","JEHANABAD",9404,3446,2716,1798,1107,788,387,156,19802
"BIHAR","KAIMUR (BHABUA)",8446,1342,842,594,468,393,283,302,12670
"BIHAR","KATIHAR",7126,5299,5553,5338,4574,3659,1875,728,34152
"BIHAR","KHAGARIA",6597,2678,1875,1263,860,598,188,22,14081
"BIHAR","KISHANGANJ",1404,1357,1238,1425,1873,1649,888,602,10436
"BIHAR","LAKHISARAI",3009,1332,948,649,495,391,193,118,7135
"BIHAR","MADHEPURA",3600,2414,3078,2494,2345,1832,1416,482,17661
"BIHAR","MADHUBANI",8284,2642,1988,1298,621,487,240,147,15707
"BIHAR","MUNGER",1773,331,464,356,200,80,89,79,3372
"BIHAR","MUZAFFARPUR",14999,6103,4850,3599,2389,1530,768,377,34615
