-----
{
 "description": "The table refers to Village wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.1.csv", 
 "title": "Download CSV for Villagewise Construction of Dugwells over the years(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.1.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,NANDIGAMA,2,1,3,556,142,698,540,142,681
ANDHRA PRADESH,KRISHNA,NANDIVADA,0,1,1,0,152,152,0,152,152
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PENAMALURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,PENUGANCHIPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,REDDIGUDEM,1,0,1,73,0,73,73,0,73
ANDHRA PRADESH,KRISHNA,TIRUVURU,1,1,2,59,3,62,28,2,30
ANDHRA PRADESH,KRISHNA,UNGUTURU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KRISHNA,VATSAVAI,1,1,2,61,1,62,61,0,61
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,0,2,2,0,172,172,0,152,152
ANDHRA PRADESH,KRISHNA,VISSANNAPET,1,0,1,626,0,626,626,0,626
ANDHRA PRADESH,KURNOOL,ADONI,10,74,84,11,146,157,11,88,99
ANDHRA PRADESH,KURNOOL,BANAGANAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,BANDI ATMAKUR,0,94,94,0,604,604,0,227,227
ANDHRA PRADESH,KURNOOL,C.BELAGAL,1,13,14,486,46,531,224,32,255
ANDHRA PRADESH,KURNOOL,DORNIPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,GOSPADU,0,84,84,0,108,108,0,102,102
ANDHRA PRADESH,KURNOOL,HALAHARVI,0,38,38,0,172,172,0,157,157
ANDHRA PRADESH,KURNOOL,HOLAGUNDA,1,34,35,2,83,85,2,82,83
ANDHRA PRADESH,KURNOOL,KOILKUNTLA,0,20,20,0,46,46,0,37,37
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,16,16,0,20,20,0,7,7
ANDHRA PRADESH,KURNOOL,KOWTHALAM,0,8,8,0,44,44,0,44,44
ANDHRA PRADESH,KURNOOL,MAHANANDI,0,6,6,0,8,8,0,8,8
ANDHRA PRADESH,KURNOOL,MANTRALAYAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,NANDAVARAM,0,27,27,0,126,126,0,72,72
ANDHRA PRADESH,KURNOOL,NANDYAL,0,40,40,0,87,87,0,87,87
ANDHRA PRADESH,KURNOOL,PANYAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,KURNOOL,UYYALAWADA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,AIZA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,ATMAKUR,1,104,105,3,311,314,2,219,221
ANDHRA PRADESH,MAHABOOBNAGAR,GADWAL,0,5,5,0,22,22,0,22,22
ANDHRA PRADESH,MAHABOOBNAGAR,ITIKYAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MAGANOOR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MAKTHAL,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,MANOPADU,1,249,250,4,405,409,4,384,388
ANDHRA PRADESH,MAHABOOBNAGAR,UTKOOR,0,26,26,0,47,47,0,44,44
ANDHRA PRADESH,MAHABOOBNAGAR,VEEPANGANDLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MAHABOOBNAGAR,WADDEPALLE,0,96,96,0,430,430,0,426,426
ANDHRA PRADESH,MEDAK,ANDOLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,MEDAK,KOWDIPALLE,0,25,25,0,55,55,0,55,55
ANDHRA PRADESH,MEDAK,KULCHARAM,0,49,49,0,100,100,0,100,100
ANDHRA PRADESH,MEDAK,MANOOR,0,0,0,0,0,0,0,0,0
