-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells by Status", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in Use,Grand Total (Use + Not in Use)
KERALA,PATHANAMTHITTA,RANNI,44,0,0,1,0,0,1,45
KERALA,PATHANAMTHITTA,THIRUVALLA MUNI,1,0,0,0,0,0,0,1
KERALA,THIRUVANANTHAPURAM,ATHIYANNOOR,1,0,0,0,0,0,0,1
KERALA,THIRUVANANTHAPURAM,KAZHAKUTTOM,16,0,0,0,0,0,0,16
KERALA,THIRUVANANTHAPURAM,KILIMANOOR,4,0,0,0,0,0,0,4
KERALA,THIRUVANANTHAPURAM,NEDUMANGAD,8,1,0,0,0,0,1,9
KERALA,THIRUVANANTHAPURAM,NEDUMANGAD MUNI,4,0,0,0,0,0,0,4
KERALA,THIRUVANANTHAPURAM,PERUMKADAVILA,7,0,0,0,0,0,0,7
KERALA,THIRUVANANTHAPURAM,TVPM CORPORATION,0,2,0,0,0,0,2,2
KERALA,THIRUVANANTHAPURAM,VAMANAPURAM,9,0,0,0,0,0,0,9
KERALA,THIRUVANANTHAPURAM,VARKALA,2,0,0,0,0,0,0,2
KERALA,THIRUVANANTHAPURAM,VARKALA MUNI,1,0,0,0,0,0,0,1
KERALA,THIRUVANANTHAPURAM,VELLANADU,1,0,1,0,0,0,1,2
KERALA,THRISSUR,ANTHIKKAD,5,0,0,0,0,0,0,5
KERALA,THRISSUR,CHALAKUDY MUNI,19,0,0,0,0,0,0,19
KERALA,THRISSUR,CHOWANNUR,2,0,0,0,0,0,0,2
KERALA,THRISSUR,IRINJALAKKUDA,3,0,0,0,0,0,0,3
KERALA,THRISSUR,KODUNGALLUR,55,0,0,0,0,0,0,55
KERALA,THRISSUR,MALA,14,0,0,0,0,0,0,14
KERALA,THRISSUR,MATHILAKOM,292,0,0,0,0,0,0,292
KERALA,THRISSUR,PAZHAYANNUR,98,1,5,1,0,0,7,105
KERALA,THRISSUR,PUZHAKKAL,21,0,0,0,1,0,1,22
KERALA,THRISSUR,THALIKULAM,201,0,0,0,0,0,0,201
KERALA,THRISSUR,VADAKKANCHERRY,94,1,0,0,0,0,1,95
KERALA,THRISSUR,VELLANGALLUR,19,0,0,0,0,0,0,19
MADHYA PRADESH,BALAGHAT,KHAIRLANJI,8,0,0,0,0,0,0,8
MADHYA PRADESH,BALAGHAT,LANJI,3,0,0,0,0,0,0,3
MADHYA PRADESH,BALAGHAT,WARASEONI,5,0,0,0,0,0,0,5
MADHYA PRADESH,BARWANI,BARWANI,68,2,0,1,0,0,3,71
MADHYA PRADESH,BARWANI,PANSEMAL,1019,2,0,5,0,0,7,1026
MADHYA PRADESH,BARWANI,PATI,15,0,0,0,0,0,0,15
MADHYA PRADESH,BARWANI,SENDHWA,50,2,3,0,0,0,5,55
MADHYA PRADESH,BARWANI,THIKRI,23,0,0,0,0,0,0,23
MADHYA PRADESH,BETUL,AMLA,347,29,0,0,0,11,40,387
MADHYA PRADESH,BETUL,ATHNER,14,0,0,0,0,0,0,14
MADHYA PRADESH,BETUL,BETUL,686,12,0,3,0,1,16,702
MADHYA PRADESH,BETUL,BHAINSDEHI,17,24,0,1,0,0,25,42
MADHYA PRADESH,BETUL,BHIMPURA,2,0,0,0,0,0,0,2
MADHYA PRADESH,BETUL,CHICHOLI,57,2,0,0,0,0,2,59
MADHYA PRADESH,BETUL,GHODA DONGRI,72,3,1,0,0,0,4,76
MADHYA PRADESH,BETUL,MULTAI,243,48,0,2,0,2,52,295
MADHYA PRADESH,BETUL,PRABHAT PATTAN,20,16,0,0,1,0,17,37
MADHYA PRADESH,BETUL,SHAHPUR,7,2,0,0,0,0,2,9
MADHYA PRADESH,BHIND,ATER,192,0,0,0,0,0,0,192
MADHYA PRADESH,BHIND,BHIND,375,5,2,0,0,0,7,382
MADHYA PRADESH,BHIND,GOHAD,366,11,2,1,0,1,15,381
MADHYA PRADESH,BHIND,LAHAR,178,2,0,7,0,1,10,188
MADHYA PRADESH,BHIND,MEHAGOAN,208,2,0,0,1,0,3,211
MADHYA PRADESH,BHOPAL,BERASIA,0,2004,0,0,0,0,2004,2004
MADHYA PRADESH,BHOPAL,FUNDA,2003,1493,0,0,0,0,1493,3496
MADHYA PRADESH,CHHATARPUR,BADAMALAHERA,61,0,0,0,0,0,0,61
MADHYA PRADESH,CHHATARPUR,BIJAWAR,44,0,0,0,0,0,0,44
MADHYA PRADESH,CHHATARPUR,BUXWAHA,1,0,0,0,0,0,0,1
MADHYA PRADESH,CHHATARPUR,CHHATARPUR,14,0,0,0,0,0,0,14
MADHYA PRADESH,CHHATARPUR,GAURIHAR,58,0,0,0,0,0,0,58
MADHYA PRADESH,CHHATARPUR,LAUNDI,2,0,0,0,0,0,0,2
MADHYA PRADESH,CHHATARPUR,NOWGONG,12,0,0,0,0,0,0,12
MADHYA PRADESH,CHHINDWARA,BICHHUA,13,0,1,1,0,0,2,15
MADHYA PRADESH,CHHINDWARA,CHHINDWADA,561,10,2,2,1,0,15,576
MADHYA PRADESH,CHHINDWARA,CHOURAI,2,0,0,0,0,0,0,2
MADHYA PRADESH,CHHINDWARA,JAMAI,31,6,0,0,1,0,7,38
MADHYA PRADESH,CHHINDWARA,MOHKHED,183,14,1,1,0,0,16,199
MADHYA PRADESH,CHHINDWARA,PARASIA,650,18,12,0,0,0,30,680
MADHYA PRADESH,CHHINDWARA,TAMIA,46,0,0,0,0,0,0,46
MADHYA PRADESH,DAMOH,BATIYAGHAR,1698,91,10,11,4,1,117,1815
MADHYA PRADESH,DAMOH,DAMOH,240,4,1,0,0,0,5,245
MADHYA PRADESH,DAMOH,HATTA,580,8,0,0,0,0,8,588
MADHYA PRADESH,DAMOH,JABERA,290,2,1,0,0,0,3,293
MADHYA PRADESH,DAMOH,PATERA,369,0,0,0,0,0,0,369
MADHYA PRADESH,DAMOH,PATHARIA,2044,3,3,2,0,0,8,2052
MADHYA PRADESH,DAMOH,TENDUKHEDA,64,0,0,0,0,0,0,64
MADHYA PRADESH,DATIA,BHANDER,58,1,0,0,0,0,1,59
MADHYA PRADESH,DATIA,DATIA,789,5,2,1,0,2,10,799
MADHYA PRADESH,DATIA,SEONDHA,1159,2,7,42,8,0,59,1218
MADHYA PRADESH,DEWAS,BAGLEE,1928,56,0,1,0,0,57,1985
MADHYA PRADESH,DEWAS,DEWAS,6558,1563,2,37,8,0,1610,8168
MADHYA PRADESH,DEWAS,KANNOD,547,75,0,0,0,0,75,622
MADHYA PRADESH,DEWAS,KHATEGAON,2340,51,0,4,5,1,61,2401
MADHYA PRADESH,DEWAS,SONKUCH,4082,250,9,21,1,0,281,4363
MADHYA PRADESH,DEWAS,TONKHURD,2074,55,0,0,0,0,55,2129
MADHYA PRADESH,DHAR,BADNAWER,2994,5083,79,32,15,1,5210,8204
MADHYA PRADESH,DHAR,BAGH,34,34,0,0,0,0,34,68
MADHYA PRADESH,DHAR,DAHI,57,17,0,0,1,1,19,76
MADHYA PRADESH,DHAR,DHAR,2163,2447,34,6,3,1,2491,4654
MADHYA PRADESH,DHAR,DHARAMPURI,18,27,0,0,0,0,27,45
MADHYA PRADESH,DHAR,GANDHWANI,15,21,9,0,0,3,33,48
MADHYA PRADESH,DHAR,KUKSHI,36,24,0,0,0,0,24,60
MADHYA PRADESH,DHAR,MANAWAR,3,6,5,0,0,1,12,15
MADHYA PRADESH,DHAR,NALACHHA,2580,856,18,64,30,2,970,3550
MADHYA PRADESH,DHAR,NISARPUR,82,57,1,2,0,0,60,142
MADHYA PRADESH,DHAR,SARDARPUR,1015,620,8,18,5,1,652,1667
MADHYA PRADESH,DHAR,TIRLA,761,665,21,0,3,0,689,1450
MADHYA PRADESH,DHAR,UMARBAN,1,1,0,0,0,0,1,2
MADHYA PRADESH,DINDORI,DINDORI,2,0,0,0,0,0,0,2
MADHYA PRADESH,GUNA,ARON,207,0,0,0,0,0,0,207
MADHYA PRADESH,GUNA,ASHOKNAGAR,1854,0,0,0,0,0,0,1854
MADHYA PRADESH,GUNA,BAMORI,1373,0,0,13,0,0,13,1386
MADHYA PRADESH,GUNA,CHANCHODA,35,0,0,0,0,0,0,35
MADHYA PRADESH,GUNA,CHANDERI,133,0,0,0,0,0,0,133
MADHYA PRADESH,GUNA,EHSAGADH,1801,2,0,1,0,0,3,1804
MADHYA PRADESH,GUNA,GUNA,834,0,0,0,0,0,0,834
MADHYA PRADESH,GUNA,MUNGAWALI,740,0,0,0,0,0,0,740
MADHYA PRADESH,GUNA,RAGHOGARH,421,0,0,0,0,0,0,421
MADHYA PRADESH,GWALIOR,BHITARWAR,1065,7,1,0,0,46,54,1119
MADHYA PRADESH,GWALIOR,DABRA,2020,48,6,2,6,4,66,2086
MADHYA PRADESH,GWALIOR,GHATIGAWAN,591,12,17,5,1,0,35,626
MADHYA PRADESH,GWALIOR,MORAR,1736,52,0,11,0,6,69,1805
MADHYA PRADESH,HARDA,HARDA,491,22,1,6,0,10,39,530
MADHYA PRADESH,HARDA,KHIRKIYA,609,42,0,6,0,0,48,657
MADHYA PRADESH,HARDA,TIMARNI,197,0,0,0,0,0,0,197
MADHYA PRADESH,HOSHANGABAD,BABAI,708,6,10,0,2,14,32,740
MADHYA PRADESH,HOSHANGABAD,BANKHEDI,1194,12,1,0,4,0,17,1211
MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,116,3,0,0,0,1,4,120
MADHYA PRADESH,HOSHANGABAD,KESLA,370,2,1,0,0,0,3,373
MADHYA PRADESH,HOSHANGABAD,PIPARIYA,1521,3,2,2,0,1,8,1529
MADHYA PRADESH,HOSHANGABAD,SEONIMALWA,47,1,0,0,0,0,1,48
MADHYA PRADESH,HOSHANGABAD,SOHAGPUR,751,19,1,3,0,8,31,782
MADHYA PRADESH,INDORE,DEPAL PUR,5899,3282,28,51,1,2,3364,9263
MADHYA PRADESH,INDORE,INDORE,5528,1893,5,15,1,9,1923,7451
MADHYA PRADESH,INDORE,MHOW,1077,38,3,9,0,0,50,1127
MADHYA PRADESH,INDORE,SANWER,8740,2577,54,212,4,38,2885,11625
MADHYA PRADESH,JABALPUR,BARGI,345,6,0,1,0,0,7,352
MADHYA PRADESH,JABALPUR,KUNDAM,19,0,0,2,0,0,2,21
MADHYA PRADESH,JABALPUR,MAJHOLI,1438,12,2,0,0,3,17,1455
MADHYA PRADESH,JABALPUR,PANAGAR,2217,13,3,0,10,8,34,2251
MADHYA PRADESH,JABALPUR,PATAN,4389,19,0,12,0,3,34,4423
MADHYA PRADESH,JABALPUR,SHAHPURA,2128,45,27,14,3,3,92,2220
MADHYA PRADESH,JABALPUR,SIHORA,310,11,0,0,0,3,14,324
MADHYA PRADESH,JHABUA,ALIRAJPUR,10,23,0,0,0,0,23,33
MADHYA PRADESH,JHABUA,JHABUA,9,12,0,0,0,0,12,21
MADHYA PRADESH,JHABUA,JOBAT,3,0,0,0,0,0,0,3
MADHYA PRADESH,JHABUA,KATTHIWADA,0,7,0,0,0,0,7,7
MADHYA PRADESH,JHABUA,MEGHNAGAR,2,6,0,0,0,0,6,8
MADHYA PRADESH,JHABUA,PETLAWAD,50,60,0,8,3,3,74,124
MADHYA PRADESH,JHABUA,RAMA,3,2,0,0,0,0,2,5
MADHYA PRADESH,JHABUA,SONDWA,4,0,0,0,0,0,0,4
MADHYA PRADESH,JHABUA,THANDLA,51,23,0,0,0,0,23,74
MADHYA PRADESH,JHABUA,UDAIGARH,1,3,0,0,0,0,3,4
MADHYA PRADESH,KATNI,BADWARA,94,0,0,0,0,0,0,94
MADHYA PRADESH,KATNI,BAHORIBAND,146,0,0,0,0,0,0,146
MADHYA PRADESH,KATNI,DHIMAR KHERA,151,0,0,0,0,0,0,151
MADHYA PRADESH,KATNI,KATNI,85,0,0,0,0,0,0,85
MADHYA PRADESH,KATNI,RITHI,50,0,0,0,0,0,0,50
MADHYA PRADESH,KATNI,VIJAYRAGHAVGARH,156,2,1,2,0,0,5,161
MADHYA PRADESH,KHANDWA,BALADI,52,0,0,0,0,0,0,52
MADHYA PRADESH,KHANDWA,BURHANPUR,949,130,9,20,5,9,173,1122
MADHYA PRADESH,KHANDWA,CHHEGAON MAKHAN,123,146,5,2,2,1,156,279
MADHYA PRADESH,KHANDWA,HARSOOD,39,25,1,0,0,0,26,65
MADHYA PRADESH,KHANDWA,KHALWA,7,0,0,0,0,0,0,7
MADHYA PRADESH,KHANDWA,KHANDWA,15,2,0,0,0,0,2,17
MADHYA PRADESH,KHANDWA,PANDHANA,142,5,0,15,0,28,48,190
MADHYA PRADESH,KHANDWA,PUNASA,39,43,2,2,2,0,49,88
MADHYA PRADESH,KHARGONE,BARWAHA,12,0,0,0,0,0,0,12
MADHYA PRADESH,KHARGONE,BHAGWANPURA,2,0,0,0,0,0,0,2
MADHYA PRADESH,KHARGONE,BHIKANGAON,81,11,5,4,0,1,21,102
MADHYA PRADESH,KHARGONE,GOGAWA,12,0,0,0,0,0,0,12
MADHYA PRADESH,KHARGONE,KASRAWAD,644,158,16,32,0,4,210,854
MADHYA PRADESH,KHARGONE,KHARGONE,47,15,0,0,0,0,15,62
MADHYA PRADESH,KHARGONE,MAHESHWAR,45,0,0,0,0,0,0,45
MADHYA PRADESH,KHARGONE,ZIRNYA,32,0,0,0,0,0,0,32
MADHYA PRADESH,MANDLA,NAINPUR,1,0,0,0,0,0,0,1
MADHYA PRADESH,MANDSAUR,GAROTH,80,1,0,0,0,0,1,81
MADHYA PRADESH,MANDSAUR,MALHARGAR,350,60,0,11,0,0,71,421
MADHYA PRADESH,MANDSAUR,MANDSAUR,361,68,0,0,0,0,68,429
MADHYA PRADESH,MANDSAUR,SITAMAU,65,16,0,0,0,0,16,81
MADHYA PRADESH,MORENA,AMBAH,4,0,0,0,0,0,0,4
MADHYA PRADESH,MORENA,JOURA,2,0,0,0,0,0,0,2
MADHYA PRADESH,MORENA,MORENA,57,0,0,0,0,0,0,57
MADHYA PRADESH,MORENA,PAHARGARH,4,0,0,0,0,0,0,4
MADHYA PRADESH,NARSINGHPUR,BABAI-CHICHLI,3844,5,0,9,3,4,21,3865
MADHYA PRADESH,NARSINGHPUR,CHAVARPATHA,4033,14,5,6,3,11,39,4072
MADHYA PRADESH,NARSINGHPUR,GOTEGAON,6859,12,12,13,4,2,43,6902
MADHYA PRADESH,NARSINGHPUR,KARELI,5264,14,6,5,4,5,34,5298
MADHYA PRADESH,NARSINGHPUR,NARSINGHPUR,4690,3,5,3,0,16,27,4717
MADHYA PRADESH,NARSINGHPUR,SAIKHEDA,1832,1,0,0,0,1,2,1834
MADHYA PRADESH,NEEMUCH,JAWAD,133,0,0,1,0,0,1,134
MADHYA PRADESH,NEEMUCH,MANASA,111,0,0,0,0,0,0,111
MADHYA PRADESH,NEEMUCH,NEEMUCH,135,33,0,0,0,0,33,168
MADHYA PRADESH,PANNA,AJAYGARH,108,0,0,0,0,0,0,108
MADHYA PRADESH,PANNA,GUNOUR,1042,0,0,0,0,0,0,1042
MADHYA PRADESH,PANNA,PANNA,390,0,0,0,0,0,0,390
MADHYA PRADESH,PANNA,PAWAI,648,0,0,0,0,2,2,650
MADHYA PRADESH,PANNA,SHAHNAGAR,61,0,0,0,0,0,0,61
MADHYA PRADESH,RAISEN,ABDULLA GANJ,3099,1,0,0,0,0,1,3100
MADHYA PRADESH,RAISEN,BADI,990,1,0,0,0,0,1,991
MADHYA PRADESH,RAISEN,BEGAMGANJ,170,0,0,0,0,0,0,170
MADHYA PRADESH,RAISEN,GAIRATGANJ,967,1,0,0,0,0,1,968
MADHYA PRADESH,RAISEN,SANCHI,3676,91,0,3,1,2,97,3773
MADHYA PRADESH,RAISEN,SILVANI,2257,1,0,0,0,0,1,2258
MADHYA PRADESH,RAISEN,UDAYPURA,997,3,0,0,0,0,3,1000
MADHYA PRADESH,RAJGARH,BIAORA,266,47,0,0,0,0,47,313
MADHYA PRADESH,RAJGARH,KHILCHIPUR,4,0,0,0,0,0,0,4
MADHYA PRADESH,RAJGARH,NARSINGARH,2412,114,0,3,2,1,120,2532
MADHYA PRADESH,RAJGARH,RAJGARH,7,0,0,0,0,0,0,7
MADHYA PRADESH,RAJGARH,SARANGPUR,1123,99,1,59,0,10,169,1292
MADHYA PRADESH,RAJGARH,ZEERAPUR],59,0,0,0,0,0,0,59
MADHYA PRADESH,RATLAM,ALOT,470,406,2,33,0,0,441,911
MADHYA PRADESH,RATLAM,BAJNA,14,14,0,0,0,0,14,28
MADHYA PRADESH,RATLAM,JAORA,425,115,0,11,3,11,140,565
MADHYA PRADESH,RATLAM,PIPLODA,1343,533,2,17,3,2,557,1900
MADHYA PRADESH,RATLAM,RATLAM,3951,1981,27,130,25,4,2167,6118
MADHYA PRADESH,RATLAM,SAILANA,15,15,0,1,0,3,19,34
MADHYA PRADESH,REWA,GANGEO,946,0,2,1,0,0,3,949
MADHYA PRADESH,REWA,HANUMANA,34,0,0,0,0,0,0,34
MADHYA PRADESH,REWA,JAWA,2,0,0,0,0,0,0,2
MADHYA PRADESH,REWA,MAUGANJ,367,0,0,0,0,0,0,367
MADHYA PRADESH,REWA,NAIGARHI,256,1,0,0,0,0,1,257
MADHYA PRADESH,REWA,RAIPUR KARCULIYAN,1079,0,5,1,0,0,6,1085
MADHYA PRADESH,REWA,REWA,1961,7,0,0,0,1,8,1969
MADHYA PRADESH,REWA,SIRMOUR,364,1,0,0,0,0,1,365
MADHYA PRADESH,REWA,TEONTHER,1336,4,0,0,0,0,4,1340
MADHYA PRADESH,SAGAR,BANDA,76,0,0,0,0,1,1,77
MADHYA PRADESH,SAGAR,BINA,1318,14,0,0,0,10,24,1342
MADHYA PRADESH,SAGAR,DEORI,780,7,1,0,0,1,9,789
MADHYA PRADESH,SAGAR,JAISINAGAR,28,1,4,0,0,21,26,54
MADHYA PRADESH,SAGAR,KESLI,47,4,0,0,0,8,12,59
MADHYA PRADESH,SAGAR,KHURAI,956,6,0,0,0,2,8,964
MADHYA PRADESH,SAGAR,MALTHONE,26,0,0,0,0,1,1,27
MADHYA PRADESH,SAGAR,RAHATGARH,130,3,0,0,0,0,3,133
MADHYA PRADESH,SAGAR,REHLI,1686,6,1,0,0,2,9,1695
MADHYA PRADESH,SAGAR,SAGAR,254,4,4,0,0,0,8,262
MADHYA PRADESH,SAGAR,SHAHGARH,6,1,0,0,0,0,1,7
MADHYA PRADESH,SATNA,AMARPATAN,2309,15,1,0,0,0,16,2325
MADHYA PRADESH,SATNA,MAIHAR,1080,4,4,0,0,0,8,1088
MADHYA PRADESH,SATNA,MAJHAGAWAN,100,2,2,0,0,0,4,104
MADHYA PRADESH,SATNA,NAGOD,1191,5,1,2,2,1,11,1202
MADHYA PRADESH,SATNA,RAMNAGER,176,0,0,0,0,1,1,177
MADHYA PRADESH,SATNA,RAMPUR BAGHELAN,3790,24,1,0,1,1,27,3817
MADHYA PRADESH,SATNA,SOHAWAL,2186,38,4,8,0,5,55,2241
MADHYA PRADESH,SATNA,UCHEHARA,333,10,0,3,0,0,13,346
MADHYA PRADESH,SEHORE,ASHTA,5395,348,2,26,1,0,377,5772
MADHYA PRADESH,SEHORE,BUDHNI,115,0,0,1,0,0,1,116
MADHYA PRADESH,SEHORE,ICHAWAR,489,74,1,20,0,0,95,584
MADHYA PRADESH,SEHORE,NASRULLAGANJ,696,1,0,2,0,0,3,699
MADHYA PRADESH,SEHORE,SEHORE,3997,90,1,12,4,1,108,4105
MADHYA PRADESH,SEONI,BARGHAT,1,0,0,0,0,0,0,1
MADHYA PRADESH,SEONI,CHHAPARA,3,0,0,0,0,0,0,3
MADHYA PRADESH,SEONI,GHANSOR,1,0,0,0,0,0,0,1
MADHYA PRADESH,SEONI,KURAI,18,4,0,0,0,0,4,22
MADHYA PRADESH,SEONI,LAKHNADON,18,5,0,2,0,0,7,25
MADHYA PRADESH,SEONI,SEONI,48,0,0,0,0,0,0,48
MADHYA PRADESH,SHAHDOL,BEOHARI,150,0,0,0,0,0,0,150
MADHYA PRADESH,SHAHDOL,JAISINGHNAGAR,8,0,0,0,0,0,0,8
MADHYA PRADESH,SHAHDOL,JAITHARI,3,0,0,0,0,0,0,3
MADHYA PRADESH,SHAHDOL,SOHAGPUR,33,0,0,0,0,0,0,33
MADHYA PRADESH,SHAJAPUR,AGAR,160,4,0,0,0,0,4,164
MADHYA PRADESH,SHAJAPUR,BAROD,133,45,0,0,0,0,45,178
MADHYA PRADESH,SHAJAPUR,KALAPIPAL,2144,421,23,16,5,10,475,2619
MADHYA PRADESH,SHAJAPUR,M.BARODIYA,2036,51,6,7,0,10,74,2110
MADHYA PRADESH,SHAJAPUR,NALKHEDA,27,4,0,0,0,0,4,31
MADHYA PRADESH,SHAJAPUR,SHAJAPUR,1037,48,0,1,0,5,54,1091
MADHYA PRADESH,SHAJAPUR,SHUJALPUR,3406,80,0,2,0,19,101,3507
MADHYA PRADESH,SHEOPUR,KARHAL,111,4,0,0,0,3,7,118
MADHYA PRADESH,SHEOPUR,SHEOPUR,4400,37,3,0,0,0,40,4440
MADHYA PRADESH,SHEOPUR,VIJAYPUR,192,8,0,0,0,0,8,200
MADHYA PRADESH,SHIVPURI,BADARWAS,966,1,1,0,1,0,3,969
MADHYA PRADESH,SHIVPURI,KARERA,61,0,0,0,0,0,0,61
MADHYA PRADESH,SHIVPURI,KHANIYADHANA,8,0,0,0,0,0,0,8
MADHYA PRADESH,SHIVPURI,KOLARAS,764,9,1,0,0,0,10,774
MADHYA PRADESH,SHIVPURI,NARWAR,1,0,0,0,0,0,0,1
MADHYA PRADESH,SHIVPURI,POHARI,433,1,10,0,0,0,11,444
MADHYA PRADESH,SHIVPURI,SHIVPURI,441,4,0,1,0,0,5,446
MADHYA PRADESH,SIDHI,CHITRANGI,3,0,0,0,0,0,0,3
MADHYA PRADESH,SIDHI,DEOSAR,16,0,0,0,0,0,0,16
MADHYA PRADESH,SIDHI,KUSMI,2,0,0,0,0,0,0,2
MADHYA PRADESH,SIDHI,MAJHOULI,36,0,0,0,0,0,0,36
MADHYA PRADESH,SIDHI,RAMPUR NAKIN,637,0,2,0,0,0,2,639
MADHYA PRADESH,SIDHI,SIDHI,290,0,1,0,0,0,1,291
MADHYA PRADESH,SIDHI,SIHAWAL,406,0,0,0,0,0,0,406
MADHYA PRADESH,SIDHI,WAIDHAN,79,0,0,0,0,0,0,79
MADHYA PRADESH,TIKAMGARH,BALDEOGARH,1,0,0,0,0,0,0,1
MADHYA PRADESH,TIKAMGARH,JATARA,568,0,0,1,0,0,1,569
MADHYA PRADESH,TIKAMGARH,NIWARI,1,0,0,0,0,0,0,1
MADHYA PRADESH,TIKAMGARH,PRITHVIPUR,386,0,0,0,0,0,0,386
MADHYA PRADESH,TIKAMGARH,TIKAMGARH,83,0,0,0,0,0,0,83
MADHYA PRADESH,UJJAIN,BARNAGAR,10493,4519,1,34,0,8,4562,15055
MADHYA PRADESH,UJJAIN,GHATTIA,2421,813,4,26,2,2,847,3268
MADHYA PRADESH,UJJAIN,KHACHROD,4225,1102,11,33,2,0,1148,5373
MADHYA PRADESH,UJJAIN,MEHIDPUR,1552,815,13,1,0,0,829,2381
MADHYA PRADESH,UJJAIN,TARANA,1780,293,2,13,0,0,308,2088
MADHYA PRADESH,UJJAIN,UJJAIN,4769,2475,4,62,1,19,2561,7330
MADHYA PRADESH,UMARIA,KARKELI,136,0,0,0,0,0,0,136
MADHYA PRADESH,UMARIA,MANPUR,387,4,1,0,0,0,5,392
MADHYA PRADESH,UMARIA,PALI,30,3,0,0,0,0,3,33
MADHYA PRADESH,VIDISHA,BASODA,1298,24,0,0,0,0,24,1322
MADHYA PRADESH,VIDISHA,GYARASPUR,1151,9,0,0,0,6,15,1166
MADHYA PRADESH,VIDISHA,KURWAI,2439,1,0,0,0,3,4,2443
MADHYA PRADESH,VIDISHA,LATERI,431,0,14,0,0,0,14,445
MADHYA PRADESH,VIDISHA,NATERAN,924,7,0,3,0,0,10,934
MADHYA PRADESH,VIDISHA,SIRONJ,1134,34,0,0,0,2,36,1170
MADHYA PRADESH,VIDISHA,VIDISHA,2458,4,0,6,0,1,11,2469
MAHARASHTRA,AHMEDNAGAR,AKOLA,81,0,0,0,0,0,0,81
MAHARASHTRA,AHMEDNAGAR,JAMKHED,10,0,0,0,0,0,0,10
MAHARASHTRA,AHMEDNAGAR,KARJAT,55,0,0,1,0,0,1,56
MAHARASHTRA,AHMEDNAGAR,KOPARGAON,392,0,0,67,0,0,67,459
MAHARASHTRA,AHMEDNAGAR,NAGAR,164,0,0,0,0,0,0,164
MAHARASHTRA,AHMEDNAGAR,NEVASA,2637,18,0,84,0,0,102,2739
MAHARASHTRA,AHMEDNAGAR,PARNER,579,23,0,11,0,1,35,614
MAHARASHTRA,AHMEDNAGAR,PATHARDI,83,10,1,10,1,63,85,168
MAHARASHTRA,AHMEDNAGAR,RAHATA,771,2,0,1,0,0,3,774
MAHARASHTRA,AHMEDNAGAR,RAHURI,2677,8,0,0,0,0,8,2685
MAHARASHTRA,AHMEDNAGAR,SANGAMNER,1701,1,0,1,0,0,2,1703
MAHARASHTRA,AHMEDNAGAR,SHEVGAON,561,4,0,0,0,0,4,565
MAHARASHTRA,AHMEDNAGAR,SHRIGONDA,79,10,0,0,0,0,10,89
MAHARASHTRA,AHMEDNAGAR,SHRIRAMPUR,1013,8,0,3,0,0,11,1024
MAHARASHTRA,AKOLA,AKOLA,6,0,0,0,0,0,0,6
MAHARASHTRA,AKOLA,BALAPUR,174,1,2,1,0,3,7,181
MAHARASHTRA,AKOLA,BARSHI TAKLI,4,0,0,0,0,0,0,4
MAHARASHTRA,AKOLA,MURTIJAPUR,12,2,0,0,0,0,2,14
MAHARASHTRA,AKOLA,TELHARA,17,0,0,0,0,3,3,20
MAHARASHTRA,AMRAVATI,ACHALPUR,5,0,0,0,0,0,0,5
MAHARASHTRA,AMRAVATI,AMRAVATI,5,0,0,0,0,0,0,5
MAHARASHTRA,AMRAVATI,ANJANGAON SURJI,1,0,0,0,0,0,0,1
MAHARASHTRA,AMRAVATI,CHANDUR BAZAR,13,0,0,0,0,0,0,13
MAHARASHTRA,AMRAVATI,CHANDUR RAILWAY,2,0,0,0,0,0,0,2
MAHARASHTRA,AMRAVATI,DARYAPUR,1,0,0,0,0,0,0,1
MAHARASHTRA,AMRAVATI,DHAMANGAON RAILWAY,10,7,0,0,0,0,7,17
MAHARASHTRA,AMRAVATI,DHARNI,6,1,0,0,0,0,1,7
MAHARASHTRA,AMRAVATI,WARUD,86,0,0,0,0,0,0,86
MAHARASHTRA,AURANGABAD,AURANGABAD,10,0,0,11,0,0,11,21
MAHARASHTRA,AURANGABAD,GANAGAPUR,324,98,25,17,0,0,140,464
MAHARASHTRA,AURANGABAD,KHULDABAD,33,0,0,0,0,0,0,33
MAHARASHTRA,AURANGABAD,PAITHAN,808,0,0,0,0,0,0,808
MAHARASHTRA,AURANGABAD,SOEGAON,23,0,0,0,0,0,0,23
MAHARASHTRA,AURANGABAD,VAIJAPUR,90,0,5,0,0,0,5,95
MAHARASHTRA,BEED,BEED,6,0,0,0,0,0,0,6
MAHARASHTRA,BEED,PARLI,246,0,0,0,0,0,0,246
MAHARASHTRA,BEED,PATODA,122,14,0,0,0,0,14,136
MAHARASHTRA,BEED,SHIRUR (KASAR),3,0,1,0,0,0,1,4
MAHARASHTRA,BEED,WADWANI,84,13,0,0,0,0,13,97
