-----
{
 "description": "This data provides details of Hon\u2019ble Members of the Third Lok Sabha from 2nd April 1962 to 3rd March 1967. It consists of name of members, constituency name, state name and party name.", 
 "file_name": "Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls", 
 "title": "Download XLS for Members of Third Lok Sabha from 2nd April 1962 to 3rd March 1967", 
 "url": "http://data.gov.in/sites/default/files/Members_of_Third_Lok_Sabha_From_2nd_April_1962_to_3rd_March_1967.xls"
}
-----
"Lok Sabha","Member Name","Gender","Constituency Name","State Name","Party Name"
"Third Lok Sabha","Shri Raghunath Keshav Khadilkar","Male","Khed                                                                                                ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Shri Osman Ali S. Khan","Male","Anantapur                                                                                           ","Andhra Pradesh                                              ","Congress"
"Third Lok Sabha","Dr. Purnendu Narayan Khan","Male","Uluberia                                                                                            ","West Bengal                                                 ","Congress"
"Third Lok Sabha","Shri Shah Nawaz Khan","Male","Meerut                                                                                              ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Mehr Chand Khanna","Male","New Delhi                                                                                           ","Delhi                                                       ","Congress"
"Third Lok Sabha","Shri Prem Kishan Khanna","Male","Kaimganj                                                                                            ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Kinder Lal","Male","Hardoi-SC                                                                                           ","Uttar Pradesh                                               ","Congress"
"Third Lok Sabha","Shri Kisan Veer","Male","Satara                                                                                              ","Maharashtra                                                 ","Congress"
"Third Lok Sabha","Dr. Rajendra Kohar","Male","Phulbani-SC                                                                                         ","Odisha                                                      ","Swatantra Party"
"Third Lok Sabha","Shri Liladhar Kotoki","Male","Nowgong                                                                                             ","Assam                                                       ","Congress"
"Third Lok Sabha","Shri H.V. Koujalgi","Male","Belgaum                                                                                             ","Mysore                                                      ","Congress"
