-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MADHYA PRADESH","PANNA",2,2247,2249,22,10291,10312,22,8976,8997
"MADHYA PRADESH","RAISEN",5,12151,12156,70,62845,62915,67,51485,51552
"MADHYA PRADESH","RAJGARH",1,3870,3871,2,11618,11620,1,6655,6656
"MADHYA PRADESH","RATLAM",14,6204,6218,44,16637,16681,18,7359,7378
"MADHYA PRADESH","REWA",9,6336,6345,95,36065,36160,45,17765,17810
"MADHYA PRADESH","SAGAR",0,5307,5307,0,16455,16455,0,15663,15663
"MADHYA PRADESH","SATNA",8,11157,11165,148,60660,60809,111,40282,40393
"MADHYA PRADESH","SEHORE",6,10686,10692,50,43787,43837,39,21855,21894
"MADHYA PRADESH","SEONI",0,89,89,0,546,546,0,465,465
"MADHYA PRADESH","SHAHDOL",0,194,194,0,1163,1163,0,913,913
"MADHYA PRADESH","SHAJAPUR",3,8940,8943,7,21877,21884,5,13702,13707
"MADHYA PRADESH","SHEOPUR",6,4697,4703,15,14949,14964,15,14873,14888
"MADHYA PRADESH","SHIVPURI",161,2513,2674,786,9853,10639,714,9081,9796
"MADHYA PRADESH","SIDHI",74,1395,1469,3205,18491,21695,2573,12948,15521
"MADHYA PRADESH","TIKAMGARH",3,1036,1039,11,3081,3092,8,2950,2958
"MADHYA PRADESH","UJJAIN",28,25212,25240,85,71329,71414,38,36883,36921
