-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"MADHYA PRADESH","BHIND",11290,1313,10190,98,0,11600
"MADHYA PRADESH","BHOPAL",8096,584,8058,0,0,8641
"MADHYA PRADESH","CHHATARPUR",25984,100,25946,30,0,26076
"MADHYA PRADESH","CHHINDWARA",1201,285,972,2,0,1259
"MADHYA PRADESH","DAMOH",27235,52,27412,26,1,27491
"MADHYA PRADESH","DATIA",4118,2,4129,0,0,4131
"MADHYA PRADESH","DEWAS",4999,157,4883,34,0,5074
"MADHYA PRADESH","DHAR",50081,31315,19597,38,5,50955
"MADHYA PRADESH","DINDORI",168,0,253,0,16,269
"MADHYA PRADESH","GUNA",41337,27,41445,4,10,41487
"MADHYA PRADESH","GWALIOR",7730,2588,5540,151,0,8278
"MADHYA PRADESH","HARDA",12941,2,13202,1,0,13205
"MADHYA PRADESH","HOSHANGABAD",14333,282,14484,15,0,14780
"MADHYA PRADESH","INDORE",5714,5,7050,66,2,7122
"MADHYA PRADESH","JABALPUR",15987,1709,14992,88,111,16899
"MADHYA PRADESH","JHABUA",11624,2591,9614,10,16,12231
"MADHYA PRADESH","KATNI",23651,3500,22033,22,12,25567
"MADHYA PRADESH","KHANDWA",10339,3636,6343,831,38,10849
"MADHYA PRADESH","KHARGONE",27211,18339,10616,413,21,29389
"MADHYA PRADESH","MANDLA",730,142,568,30,0,740
"MADHYA PRADESH","MANDSAUR",4322,110,4299,9,2,4420
"MADHYA PRADESH","MORENA",531,13,522,0,2,537
"MADHYA PRADESH","NARSINGHPUR",5763,43,5800,15,8,5866
"MADHYA PRADESH","NEEMUCH",1063,4,1064,0,0,1068
"MADHYA PRADESH","PANNA",36738,574,36923,4,0,37500
"MADHYA PRADESH","RAISEN",44011,0,44033,0,0,44033
"MADHYA PRADESH","RAJGARH",7869,113,8322,2,0,8436
"MADHYA PRADESH","RATLAM",3543,1065,2167,84,433,3750
"MADHYA PRADESH","REWA",29644,16559,21225,170,12,37966
"MADHYA PRADESH","SAGAR",40552,70,40551,117,0,40738
"MADHYA PRADESH","SATNA",26425,89,26340,83,11,26522
"MADHYA PRADESH","SEHORE",4900,89,4968,147,0,5204
"MADHYA PRADESH","SEONI",6976,868,6426,176,0,7469
"MADHYA PRADESH","SHAHDOL",19313,5422,13995,20,21,19457
"MADHYA PRADESH","SHAJAPUR",6761,27,6742,0,0,6769
"MADHYA PRADESH","SHEOPUR",29197,2,29205,0,0,29207
"MADHYA PRADESH","SHIVPURI",26545,0,26922,4,0,26926
"MADHYA PRADESH","SIDHI",10252,10,10300,6,10436,20752
"MADHYA PRADESH","TIKAMGARH",7715,1017,7720,54,1,8792
"MADHYA PRADESH","UJJAIN",8597,352,8530,4,3,8889
"MADHYA PRADESH","UMARIA",8026,814,7604,5,0,8423
"MADHYA PRADESH","VIDISHA",70326,54,70443,0,0,70497
"MAHARASHTRA","AHMEDNAGAR",4765,2736,3438,466,504,7144
"MAHARASHTRA","AKOLA",1874,713,1302,57,0,2072
"MAHARASHTRA","AMRAVATI",1294,430,699,185,10,1324
"MAHARASHTRA","AURANGABAD",2735,16,2720,13,0,2748
"MAHARASHTRA","BEED",902,117,421,376,875,1789
"MAHARASHTRA","BHANDARA",2806,2453,667,32,513,3665
"MAHARASHTRA","BULDANA",1591,799,794,12,1,1606
"MAHARASHTRA","CHANDRAPUR",7652,6983,1460,809,54,9306
"MAHARASHTRA","DHULE",3,1,0,0,2,3
"MAHARASHTRA","GADCHIROLI",1029,1029,0,0,0,1029
"MAHARASHTRA","GONDIYA",1467,1248,207,1,163,1619
"MAHARASHTRA","HINGOLI",4123,3059,3081,300,1467,7907
"MAHARASHTRA","JALGAON",2016,1944,547,67,0,2558
"MAHARASHTRA","JALNA",704,0,704,0,0,704
"MAHARASHTRA","KOLHAPUR",84997,20677,19897,48700,6473,95748
"MAHARASHTRA","LATUR",8061,2455,2877,3405,38,8775
"MAHARASHTRA","NAGPUR",6456,5212,3420,290,50,8972
"MAHARASHTRA","NANDED",15595,8742,9242,4178,856,23018
"MAHARASHTRA","NANDURBAR",498,366,33,126,5,530
"MAHARASHTRA","NASHIK",2353,1727,804,23,14,2569
"MAHARASHTRA","OSMANABAD",7581,2278,3803,2243,1047,9371
"MAHARASHTRA","PARBHANI",5224,2236,4611,872,361,8080
"MAHARASHTRA","PUNE",317,176,262,52,10,500
"MAHARASHTRA","RAIGHAR",946,1,395,554,9,959
"MAHARASHTRA","RATNAGIRI",494,319,184,104,3,610
"MAHARASHTRA","SANGLI",56554,24907,17647,21393,1223,65170
"MAHARASHTRA","SATARA",27820,11152,10469,15968,81,37670
"MAHARASHTRA","SINDHUDURGA",4530,2509,1996,598,211,5315
"MAHARASHTRA","SOLAPUR",39132,13691,17562,15014,2446,48712
